sample_name,tissue,treatment,muts_per_mbp
hairfollicle21-f7-w14,Hair follicle,DT,35.082438071009115
hairfollicle21-f7-w17,Hair follicle,DT,65.03318605229433
hairfollicle21-f7-w19,Hair follicle,DT,26.393813290164783
hairfollicle21-f7-w8,Hair follicle,DT,33.16584581198282
hairfollicle21-g1-w14,Hair follicle,DT,29.662520683595503
hairfollicle21-g1-w17,Hair follicle,DT,24.74365572667168
hairfollicle21-g1-w8,Hair follicle,DT,52.665029347339186
hairfollicle21-g2-w14,Hair follicle,DT,27.47200859873869
hairfollicle21-g2-w17,Hair follicle,DT,24.899859261665043
hairfollicle21-g2-w19,Hair follicle,DT,47.14061555848467
hairfollicle21-g2-w8,Hair follicle,DT,21.728502362974634
hairfollicle21-g3-w14,Hair follicle,DT,20.38742066309837
hairfollicle21-g3-w17,Hair follicle,DT,15.811999516876739
hairfollicle21-g3-w8,Hair follicle,DT,19.410233907183034
hairfollicle21-g4-w14,Hair follicle,DT,104.10727213320605
hairfollicle21-g4-w17,Hair follicle,DT,48.57300141147428
hairfollicle21-g4-w8,Hair follicle,DT,22.88247096786496
hairfollicle21-g5-w17,Hair follicle,DT,29.87715891201177
hairfollicle21-g6-w17,Hair follicle,DT,28.81395223956444
hairfollicle21-g6-w19,Hair follicle,DT,65.74085059415862
hairfollicle21-g6-w8,Hair follicle,DT,15.29168896704641
hairfollicle21-g7-w14,Hair follicle,DT,19.13362926679933
hairfollicle21-g7-w17,Hair follicle,DT,5.383913405136791
hairfollicle21-g7-w19,Hair follicle,DT,52.47095661644582
hairfollicle21-g7-w8,Hair follicle,DT,18.062972036261417
skin19-a3-w19,Skin,Acetone,27.164397549375742
skin19-a4-w19,Skin,Acetone,33.87238171844634
skin19-b3-w19,Skin,Acetone,33.29707245552737
skin19-b4-w19,Skin,Acetone,24.991982362544473
skin21-b5-w19,Skin,DT,12.872165583488396
skin21-b6-w19,Skin,DT,11.539943412920254
skin21-b7-w19,Skin,DT,9.90953139761476
skin21-c5-w19,Skin,DT,10.500108420527408
skin21-c6-w19,Skin,DT,12.197090448951542
skin21-c7-w19,Skin,DT,8.043118151017838
skin21-d1-w19,Skin,DT,13.549166323361694
skin21-d2-w19,Skin,DT,8.238309461768036
skin21-d3-w19,Skin,DT,9.29301971149946
skin21-d4-w19,Skin,DT,9.441895460513699
skin21-e1-w19,Skin,DT,7.447080844046823
skin21-e2-w19,Skin,DT,7.332131859429998
skin21-e3-w19,Skin,DT,4.66686765310026
skin21-e4-w19,Skin,DT,6.586847585413679
skin21-f1-w19,Skin,DT,11.472054612715985
skin21-f2-w19,Skin,DT,0.2658826319615385
skin21-f3-w19,Skin,DT,5.8495663131535425
skin21-f4-w19,Skin,DT,0.2550682702978866
skin21-f6-w19,Skin,DT,0.24608345871285556
skin21-f7-w19,Skin,DT,0.23807154430820932
skin21-g1-w19,Skin,DT,12.239281449270802
skin21-g2-w19,Skin,DT,0.4884146816476474
skin21-g3-w19,Skin,DT,13.033980638652437
skin21-g4-w19,Skin,DT,11.936629758902184
skin21-g6-w19,Skin,DT,2.2671133047811405
skin21-g7-w19,Skin,DT,1.7381337608149168
skin21-pp-bc-w19,Skin,DT,12.304591945383917
skin21-pp-de-w19,Skin,DT,14.939431506986486
