assay,model,Df,AIC,BIC,logLik,deviance,Chisq,Chi Df,Pr(>Chisq)
TES,null_model,3,474.91237819873044,486.8566208324939,-234.45618909936522,468.91237819873044,NA,NA,NA
TES,lrt_model,5,452.6600575522567,472.5671286085291,-221.33002877612836,442.6600575522567,26.25232064647372,2,1.9924205069033e-6
WES,null_model,3,343.42278870839755,351.6835592817166,-168.71139435419877,337.42278870839755,NA,NA,NA
WES,lrt_model,4,322.99054056132474,334.0049013257502,-157.49527028066237,314.99054056132474,22.432248147072812,1,2.1768814049164445e-6
