assay,contrast,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
TES,"(TES
Shared HF-SK) / (TES
Shared HF-HF
at different timepoints)",0.4786793384527133,0.20392080444756547,Inf,0.1726348212168885,1.3272751548406132,1,-1.7293709839291058,0.08374271970125328
TES,"(TES
Shared HF-SK) / (TES
Non-shared)",0.213487161638659,0.08563615971150881,Inf,0.08171838188751641,0.5577296947370585,1,-3.849568960393046,3.549776028604543e-4
TES,"(TES
Shared HF-HF
at different timepoints) / (TES
Non-shared)",0.4459920127923977,0.1022834008045919,Inf,0.25756391500320336,0.77226996441695,1,-3.52078770325195,6.454004208527031e-4
WES,"(WES
Shared HF-SK) / (WES
Non-shared)",0.30769352075265366,0.0684126034848768,Inf,0.1990041475815529,0.4757453744744959,1,-5.301118127955763,1.1509558333028633e-7
