gene_symbol,n_mutated_biopsies,n_shared_mutations,first_biopsy_rank,human_symbols,gene_family,known_cscc_gene,gene_rank,plot_y,gene_label
Etv1,2,1,30,ETV1,Other,FALSE,275,26,Etv1
Gm10717,2,1,30,NA,Other,FALSE,276,25,Gm10717
Gm11271,2,1,30,NA,Other,FALSE,277,24,Gm11271
Htr4,2,1,30,HTR4,Other,FALSE,278,23,Htr4
Ighv1-63,2,1,30,IGHV1-24,Other,FALSE,279,22,Ighv1-63
Kdm1b,2,1,30,KDM1B,Other,FALSE,280,21,Kdm1b
Mier2,2,1,30,MIER2,Other,FALSE,281,20,Mier2
Myo7a,2,1,30,MYO7A,Other,FALSE,282,19,Myo7a
Npm1,2,1,30,NPM1,Other,FALSE,283,18,Npm1
Ophn1,2,1,30,OPHN1,Other,FALSE,284,17,Ophn1
Plekha7,2,1,30,PLEKHA7,Other,FALSE,285,16,Plekha7
Polr2e,2,1,30,POLR2E,Other,FALSE,286,15,Polr2e
Prkd3,2,1,30,PRKD3,Other,FALSE,287,14,Prkd3
Ptk2b,2,1,30,PTK2B,Other,FALSE,288,13,Ptk2b
Rad51b,2,1,30,RAD51B,Other,FALSE,289,12,Rad51b
Rpl13-ps6,2,1,30,NA,Other,FALSE,290,11,Rpl13-ps6
Tbc1d10c,2,1,30,TBC1D10C,Other,FALSE,291,10,Tbc1d10c
Tln1,2,1,30,TLN1,Other,FALSE,292,9,Tln1
Tmem131l,2,1,30,TMEM131L,Other,FALSE,293,8,Tmem131l
Tmem178b,2,1,30,TMEM178B,Other,FALSE,294,7,Tmem178b
Tmem229b-ps,2,1,30,NA,Other,FALSE,295,6,Tmem229b-ps
Tmprss6,2,1,30,TMPRSS6,Other,FALSE,296,5,Tmprss6
Top3b,2,1,30,TOP3B,Other,FALSE,297,4,Top3b
Ttn,2,1,30,TTN,Other,FALSE,298,3,Ttn
Unc79,2,1,30,UNC79,Other,FALSE,299,2,Unc79
Vmn1r22,2,1,30,NA,Other,FALSE,300,1,Vmn1r22
