assay,shared_group,prob,SE,df,asymp.LCL,asymp.UCL
TES,"TES
Shared HF-SK",0.01200199507387985,0.005254423633743058,Inf,0.005071191075786425,0.028137254552486567
TES,"TES
Shared HF-HF
at different timepoints",0.024749635970448734,0.00555259692588555,Inf,0.01591012220765294,0.038309116577123076
TES,"TES
Non-shared",0.05383825769576427,0.012503995076011219,Inf,0.03397597957670134,0.08429872108714258
WES,"WES
Shared HF-SK",0.028376976866716065,0.011480480629772027,Inf,0.012748749650702043,0.061960897534533814
WES,"WES
Non-shared",0.08668985191953368,0.02914244439653636,Inf,0.04410151399668725,0.1633760914387873
