assay,pdHess,convergence,term,Estimate,Std. Error,z value,Pr(>|z|)
TES,TRUE,0,(Intercept),-4.410607786314651,0.44311410317330574,-9.953661494248637,2.4307169677735033e-23
TES,TRUE,0,"shared_groupTES
Shared HF-HF
at different timepoints",0.7367243453018566,0.42600711596769686,1.7293709839291058,0.08374271970125328
TES,TRUE,0,"shared_groupTES
Non-shared",1.5441785809615143,0.4011302555816149,3.849568960393046,1.1832586762015143e-4
TES,TRUE,0,log_callable,0.5394622250745872,0.12930440768769555,4.172032761462638,3.018942161320387e-5
WES,TRUE,0,(Intercept),-3.5333897502635145,0.41638602681115494,-8.485850923777578,2.1414583828070907e-17
WES,TRUE,0,"shared_groupWES
Non-shared",1.178651053903293,0.22234008476204412,5.301118127955763,1.1509558333028633e-7
WES,TRUE,0,log_callable,0.3183857151863252,0.0894015834146183,3.5612983912124427,3.690254097374009e-4
