human_symbol,incidence_n_mutations,incidence_n_altered_samples,incidence_n_profiled_samples,incidence_pct,is_cancer_gene,n_reference_profiled,n_case_profiled,n_reference_mutated,n_case_mutated,is_candidate,candidate_gene_symbols,candidate_gene_labels,candidate_groups,candidate_group,n_total_profiled,n_total_mutated,profile_denominator_matches_incidence,test_status,reference_prevalence_pct,case_prevalence_pct,prevalence_difference_pct,corrected_odds_ratio,corrected_log2_odds_ratio,odds_ratio,p_value,q_value_all_mutated_genes,n_fdr_tests,association_direction,is_significant_candidate,volcano_category,candidate_group_plot
SCOC,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SDHAF1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SDIM1,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SELENOS,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SERF2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SERINC4,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SFT2D2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SGCB,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SH2D1A,1,1,147,0.7,Yes,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SHISAL2B,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SKA2,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SLC12A6,15,13,147,8.8,No,115,32,10,3,FALSE,NA,NA,NA,NA,147,13,TRUE,tested,8.695652173913043,9.375,0.679347826086957,1.192090395480226,0.2534936386241877,1.0855947039009592,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
SLC16A11,1,1,147,0.7,No,115,32,1,0,FALSE,NA,NA,NA,NA,147,1,TRUE,tested,0.8695652173913043,0,-0.8695652173913043,1.1743589743589744,0.2318734743473333,0,0.9999999999999999,1,18512,Not significant,FALSE,Not significant,NA
