analysis_scope,analysis_scope_order,endpoint_group,candidate_status,n_samples,tmb_min,tmb_q25,tmb_median,tmb_q75,tmb_max
Pooled,1,Primary,No candidate mutation,21,0.23333333333300002,1.86666666667,2.9666666666699997,4.06666666667,16.266666666699997
Pooled,1,Primary,Candidate-mutated,94,2.3,17.441666666699998,34.383333333349995,55.05833333335,244.4
Pooled,1,Metastasis,No candidate mutation,11,6.471654154800001,17.61728075475,22.2912531999,28.762907354649997,84.13150401239999
Pooled,1,Metastasis,Candidate-mutated,50,14.381453677300001,38.34147251617501,69.15835850255002,106.53333332499999,510.46666669999996
HGSC only,2,Primary,No candidate mutation,3,1.86666666667,2.96666666667,4.06666666667,8.083333333335,12.1
HGSC only,2,Primary,Candidate-mutated,29,6,30.033333333299996,46.96666666669999,80.9,244.4
HGSC only,2,Metastasis,Candidate-mutated,7,18,32.5,41.63333333330001,57.16666666665,86.03333333329999
