gene_symbol,analysis_family,analysis_scope,endpoint_id,endpoint_label,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,n_reference_profiled,n_reference_mutated,n_case_profiled,n_case_mutated,n_informative_studies,informative_studies,test_method,study_adjustment,test_status,common_odds_ratio,common_odds_ratio_conf_low,common_odds_ratio_conf_high,corrected_common_odds_ratio,corrected_log2_common_odds_ratio,p_value,q_value,association_direction,candidate_group_plot
Ptch1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Ptch1 / PTCH1,Predisposition,PTCH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,41,7,25,3,2,cscc_dfarber_2015;cscc_hgsc_bcm_2014,Cochran-Mantel-Haenszel test stratified by study; continuity correction disabled,Study-stratified CMH,tested,0.6731141199226307,0.16124354099665664,2.8099272419762364,0.7676056338028167,-0.38156279472775617,0.5828624214321118,1,Not significant,Predisposition (P)
Ppp1r14d,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,2,14,2,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.7224991097632256,0.111481025063107,26.660936255903906,1.72,0.7824085649273732,0.6245892951775303,1,Not significant,Initiation (I)
Cep170b,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Cep170b / CEP170B,Initiation (I),CEP170B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,4,14,1,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,0.374296778713649,0.006902998513875081,4.376882848380374,0.48148148148148145,-1.0544477840223765,0.6302773361596888,1,Not significant,Initiation (I)
Bmper,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Bmper / BMPER,Initiation (I),BMPER,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,3,14,3,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.787788138498855,0.2037728838390378,15.762821783886755,1.7826086956521736,0.8339900485610706,0.6533850026497084,1,Not significant,Initiation (I)
Xirp2,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Xirp2 / XIRP2,Initiation (I),XIRP2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,17,14,9,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,0.6433712251870303,0.1215386205044577,3.4713437820518642,0.64155844155844155,-0.640347403997586,0.7129772987670651,1,Not significant,Initiation (I)
Folh1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Folh1 / FOLH1,Initiation (I),FOLH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,3,14,2,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.1079197599213735,0.08154155546091102,11.197551093789553,1.1714285714285715,0.22826898767311732,0.9999999999999999,1,Not significant,Initiation (I)
Spats2l,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Spats2l / SPATS2L,Initiation (I),SPATS2L,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,3,14,2,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.1079197599213735,0.08154155546091102,11.197551093789553,1.1714285714285715,0.22826898767311732,0.9999999999999999,1,Not significant,Initiation (I)
Cldn18,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Cldn18 / CLDN18,Initiation (I),CLDN18,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,1,14,1,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.6673271201109965,0.02003293632979106,138.62123238861807,1.6666666666666665,0.736965594166206,1,1,Not significant,Initiation (I)
Csmd2,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Csmd2 / CSMD2,Predisposition,CSMD2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,12,14,8,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,1.2156111349615466,0.2653626418388854,5.787029156328484,1.203076923076923,0.2667288893915353,1,1,Not significant,Predisposition (P)
Ezh1,Recurrence / progression,Study-adjusted primary analysis,recurrence_pooled,Disease-free vs recurrent / progressed (DFCI + HGSC),Disease free,Recurred / progressed,Ezh1 / EZH1,Initiation (I),EZH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,23,5,14,3,1,cscc_hgsc_bcm_2014,Two-sided Fisher exact test within HGSC; only one study profiles this candidate,Not applicable: candidate profiled in one informative study,tested,0.9823032552659758,0.12705083245161575,6.288808923682635,1.023715415019763,0.03381471299224388,1,1,Not significant,Initiation (I)
