endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family,association_direction,evidence_strength,primary_mutation_label,metastatic_mutation_label,prevalence_label,candidate_group_plot
sample_type_pooled,Ophn1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Ophn1 / OPHN1,Initiation (I),OPHN1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,2,1.7391304347826086,32,2,6.25,4.510869565217392,3.722790521875103,0.2599730933083031,53.29752599670588,3.721311475409836,1.8958111497280288,0.20660092095411617,0.28257295020638223,0.5400283048388639,Not significant,0.548869414102342,2/115,2/32,1.7% vs 6.2%,Initiation (I)
sample_type_pooled,Otog,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Otog / OTOG,Initiation (I),OTOG,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,12,10.434782608695652,32,17,53.125,42.690217391304344,9.506759332669422,3.529001326523563,26.87601738421481,9.348387096774193,3.224717474282692,9.2360156914198e-7,1.38540235371297e-5,2.6476578315403428e-5,Metastatic-associated,4.858424078859072,12/115,17/32,10.4% vs 53.1%,Initiation (I)
sample_type_pooled,Pkp4,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Pkp4 / PKP4,Initiation (I),PKP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,13,11.304347826086957,32,9,28.125,16.820652173913043,3.0417701339300027,1.018322317115937,8.816602870991517,3.0693459416863673,1.6179312591079256,0.02578411753507911,0.06435091525057121,0.14988400677112212,Not significant,1.191445271829588,13/115,9/32,11.3% vs 28.1%,Initiation (I)
sample_type_pooled,Plce1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Plce1 / PLCE1,Initiation (I),PLCE1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,40,34.78260869565217,32,18,56.25,21.467391304347828,2.3955309236994307,1.0077491803357714,5.807646232612775,2.378458918688804,1.2500271069418318,0.04007589030732378,0.0858769078014081,0.2027368568488144,Not significant,1.0661236017411766,40/115,18/32,34.8% vs 56.2%,Initiation (I)
sample_type_pooled,Ppp1r14d,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,6,5.217391304347826,32,0,0,-5.217391304347826,0,0,3.058988872969595,0.2591715976331361,-1.9480204715683733,0.3400870144069063,0.4435917579220517,0.7390016811069441,Not significant,0.353016531779474,6/115,0/32,5.2% vs 0.0%,Initiation (I)
sample_type_pooled,Rad51b,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Rad51b / RAD51B,Initiation (I),RAD51B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,13,11.304347826086957,61,5,8.19672131147541,-3.107626514611548,0.7019012037305463,0.18612523302542652,2.235422261703819,0.7391019337921992,-0.436154746435913,0.6086030022526053,0.7303236027031264,0.8558974070808688,Not significant,0.13648466354027655,13/115,5/61,11.3% vs 8.2%,Initiation (I)
sample_type_pooled,Rasd2,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Rasd2 / RASD2,Initiation (I),RASD2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,5,4.3478260869565215,32,4,12.5,8.152173913043478,3.111920041782944,0.5784059473385363,15.52757245248714,3.172248803827751,1.665505928031705,0.1040354852117271,0.15605322781759065,0.36054008731604376,Not significant,0.8067272439235418,5/115,4/32,4.3% vs 12.5%,Initiation (I)
sample_type_pooled,Spats2l,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Spats2l / SPATS2L,Initiation (I),SPATS2L,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,5,4.3478260869565215,32,1,3.125,-1.2228260869565215,0.7111966550469492,0.014545791505119822,6.700651839410844,0.9567099567099567,-0.06384648202462594,1,1,1,Not significant,-0,5/115,1/32,4.3% vs 3.1%,Initiation (I)
sample_type_pooled,Srgap1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Srgap1 / SRGAP1,Initiation (I),SRGAP1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,11,9.565217391304348,32,7,21.875,12.309782608695652,2.6262755904538806,0.7808282129597461,8.331281233070689,2.6726342710997444,1.418262429660893,0.07183128305690922,0.12327150079389511,0.30289568766499936,Not significant,0.9091373165800023,11/115,7/32,9.6% vs 21.9%,Initiation (I)
sample_type_pooled,Tmprss9,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,11,9.565217391304348,32,9,28.125,18.559782608695652,3.657986739509336,1.1925876405273916,11.048902867769314,3.673450508788159,1.877135837789818,0.0158971264013559,0.052990421337853005,0.12428662459241886,Not significant,1.2758026273062573,11/115,9/32,9.6% vs 28.1%,Initiation (I)
sample_type_pooled,Ube2d2a,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,1,0.8695652173913043,32,0,0,-0.8695652173913043,0,0,139.85216713854092,1.1743589743589744,0.2318734743473333,0.9999999999999999,1,1,Not significant,-0,1/115,0/32,0.9% vs 0.0%,Initiation (I)
sample_type_pooled,Usp3,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Usp3 / USP3,Initiation (I),USP3,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,2,1.7391304347826086,32,3,9.375,7.635869565217392,5.750438599389954,0.6286221091485563,71.98053527309955,5.386440677966101,2.4293322650993154,0.06900443731538951,0.12327150079389511,0.30289568766499936,Not significant,0.9091373165800023,2/115,3/32,1.7% vs 9.4%,Initiation (I)
sample_type_pooled,Xirp2,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Xirp2 / XIRP2,Initiation (I),XIRP2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,38,33.04347826086956,32,23,71.875,38.83152173913044,5.11581151413129,2.0430473767862205,13.863909551300676,4.979494190020506,2.315999202813388,1.0532252048162201e-4,7.899189036121651e-4,0.0018115473522838986,Metastatic-associated,3.1024174929140886,38/115,23/32,33.0% vs 71.9%,Initiation (I)
sample_type_pooled,Csmd2,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Csmd2 / CSMD2,Predisposition,CSMD2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,45,39.130434782608695,32,22,68.75,29.619565217391305,3.392503826846752,1.3885789903695318,8.823364512241211,3.3202511773940344,1.7312923857510116,0.004519558745869547,0.019369537482298055,0.04454916171039694,Metastatic-associated,1.7128807495072162,45/115,22/32,39.1% vs 68.8%,Predisposition (P)
sample_type_pooled,Erbb2,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Erbb2 / ERBB2,Predisposition,ERBB2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,9,7.826086956521739,61,12,19.672131147540984,11.846044191019246,2.865369324023442,1.0307921318918283,8.259593610880772,2.8309409888357258,1.5012816764773678,0.02788539660858086,0.06435091525057121,0.14988400677112212,Not significant,1.191445271829588,9/115,12/61,7.8% vs 19.7%,Predisposition (P)
sample_type_pooled,Huwe1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Huwe1 / HUWE1,Predisposition,HUWE1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,28,24.347826086956523,32,13,40.625,16.277173913043477,2.114007227553936,0.8454673357758333,5.198731435131779,2.125506072874494,1.0878063809688074,0.07819629808783246,0.12346783908605126,0.3056764379797087,Not significant,0.9084461527395846,28/115,13/32,24.3% vs 40.6%,Predisposition (P)
sample_type_pooled,Lrp1b,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Lrp1b / LRP1B,Predisposition,LRP1B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,64,55.65217391304348,61,43,70.49180327868852,14.839629365645045,1.896801341850827,0.939418958770392,3.9358120442710978,1.8774355751099938,0.9087634019797428,0.07396290047633707,0.12327150079389511,0.30289568766499936,Not significant,0.9091373165800023,64/115,43/61,55.7% vs 70.5%,Predisposition (P)
sample_type_pooled,Pard3,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Pard3 / PARD3,Predisposition,PARD3,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,23,20,32,13,40.625,20.625,2.7152793238652713,1.0678644486405766,6.824349145854097,2.7250409165302782,1.4462778921398949,0.021215589686413867,0.05786069914476508,0.1403492856178148,Not significant,1.2376163229714947,23/115,13/32,20.0% vs 40.6%,Predisposition (P)
sample_type_pooled,Psme4,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Psme4 / PSME4,Predisposition,PSME4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,11,9.565217391304348,32,6,18.75,9.184782608695652,2.168341369453505,0.6005876713067041,7.137982403310025,2.228876127973749,1.156316439601763,0.20722016348468034,0.28257295020638223,0.5400283048388639,Not significant,0.548869414102342,11/115,6/32,9.6% vs 18.8%,Predisposition (P)
sample_type_pooled,Ptch1,Primary / metastatic,Pooled primary analysis,Primary vs metastatic (all cohorts),1,SAMPLE_TYPE plus study design,Primary,Metastasis,Ptch1 / PTCH1,Predisposition,PTCH1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,115,23,20,61,12,19.672131147540984,-0.32786885245901587,0.9797050691952445,0.4075147075151699,2.260561616671665,0.9939823769611004,-0.008707821466210163,0.9999999999999999,1,1,Not significant,-0,23/115,12/61,20.0% vs 19.7%,Predisposition (P)
