candidate_group,exclude_candidates_from_null,n_iterations,observed_statistic,null_mean,null_median,null_q2.5,null_q97.5,difference_median,difference_q2.5,difference_q97.5,empirical_p_upper,observed_percentile
All candidates,FALSE,10000,0.067,0.05092755905,0.051000000000000004,0.04075,0.062,0.016,0.0050000000000000044,0.026250000000000002,0.0018998100189981002,99.82
All candidates,TRUE,10000,0.067,0.05068127083333333,0.0505,0.0405,0.0615,0.0165,0.005500000000000005,0.026500000000000003,0.0013998600139986002,99.89
Initiation-only,FALSE,10000,0.066,0.051599157683333334,0.051500000000000004,0.039999999999999994,0.0645,0.014499999999999999,0.0015000000000000013,0.02600000000000001,0.014998500149985002,98.77
Initiation-only,TRUE,10000,0.066,0.05139089583333333,0.051000000000000004,0.0395,0.064,0.015,0.0020000000000000018,0.026500000000000003,0.011898810118988102,98.92999999999999
Predisposition-only,FALSE,10000,0.068,0.04862103839166667,0.0485,0.027666666666666666,0.068,0.019500000000000003,0,0.04033333333333334,0.026197380261973803,97.8
Predisposition-only,TRUE,10000,0.068,0.04836532608333333,0.048,0.0275,0.068,0.020000000000000004,0,0.04050000000000001,0.026497350264973504,97.78
