human_symbol,n_mutations,n_altered_samples,n_profiled_samples,incidence_pct,is_cancer_gene
TTN,1276,119,147,81,No
MUC16,676,91,147,61.9,No
CSMD3,384,95,147,64.6,No
LRP1B,315,107,176,60.8,Yes
RYR2,307,80,147,54.4,No
PCLO,305,71,147,48.3,Yes
SYNE1,264,91,176,51.7,No
FAT4,260,85,147,57.8,Yes
DNAH5,258,88,147,59.9,No
USH2A,247,86,147,58.5,No
CSMD1,238,70,147,47.6,No
COL11A1,236,81,147,55.1,No
ABCA13,233,74,147,50.3,No
APOB,218,83,147,56.5,No
PKHD1,217,91,176,51.7,No
PKHD1L1,216,70,147,47.6,No
ADGRV1,214,68,147,46.3,No
XIRP2,205,61,147,41.5,No
LRP2,202,88,176,50,No
TP53,202,139,176,79,Yes
RELN,201,80,147,54.4,Yes
SPTA1,201,83,147,56.5,No
KMT2D,199,83,176,47.2,Yes
CUBN,198,84,176,47.7,No
FLG,197,71,147,48.3,No
FAT3,194,66,147,44.9,No
MUC17,186,71,147,48.3,No
DNAH7,183,77,147,52.4,No
PCDH15,183,81,147,55.1,No
RYR1,182,72,147,49,No
NOTCH1,176,103,176,58.5,Yes
FMN2,175,73,147,49.7,No
RYR3,170,62,147,42.2,No
AHNAK2,169,51,147,34.7,No
HMCN1,168,80,147,54.4,No
MUC4,165,56,147,38.1,No
RP1,165,66,147,44.9,No
COL22A1,163,70,147,47.6,No
DNAH11,161,58,147,39.5,No
FSIP2,161,60,147,40.8,No
MUC5B,160,62,147,42.2,No
HYDIN,158,67,147,45.6,No
CSMD2,152,67,147,45.6,No
DNAH8,152,72,147,49,No
ZFHX4,148,62,147,42.2,No
COL6A5,147,62,147,42.2,No
COL19A1,145,57,147,38.8,No
ERICH3,145,66,147,44.9,No
DNAH6,143,59,147,40.1,No
ANK2,142,71,147,48.3,No
COL24A1,141,66,147,44.9,No
DSCAM,141,62,147,42.2,No
COL4A4,140,62,147,42.2,No
LRTM3,139,45,147,30.6,No
DNAH10,137,68,147,46.3,No
OBSCN,137,58,147,39.5,No
COL1A2,136,70,147,47.6,No
THSD7A,136,55,147,37.4,No
EYS,135,50,147,34,No
UNC79,134,62,147,42.2,No
PRUNE2,133,55,147,37.4,No
AHNAK,132,67,147,45.6,No
COL6A3,132,72,147,49,No
SI,131,54,147,36.7,No
FAM135B,130,64,147,43.5,No
UNC13C,130,53,147,36.1,No
PAPPA2,129,61,147,41.5,No
ZNF831,127,58,147,39.5,No
ZNF469,126,58,147,39.5,No
ROS1,125,72,176,40.9,Yes
VCAN,125,50,147,34,No
MYO15A,124,55,147,37.4,No
FBN2,123,58,147,39.5,No
MUC12,123,35,147,23.8,No
NOTCH2,123,75,176,42.6,Yes
DNAH9,121,65,147,44.2,No
MACF1,120,62,147,42.2,No
SVEP1,119,54,147,36.7,No
DMD,116,53,147,36.1,No
NEB,116,53,147,36.1,No
PTPRD,115,53,176,30.1,Yes
BSN,114,55,147,37.4,No
SPHKAP,114,60,147,40.8,No
UNC80,114,51,147,34.7,No
DNAH3,113,63,147,42.9,No
KALRN,113,61,147,41.5,No
MGAM,113,56,147,38.1,Yes
ADGRB3,112,64,147,43.5,No
COL4A1,112,56,147,38.1,No
DNAH14,112,53,147,36.1,No
FCGBP,112,52,147,35.4,No
COL6A6,111,49,147,33.3,No
WDR87,111,49,147,33.3,No
NBEA,110,50,147,34,No
WDFY4,110,47,147,32,No
FAT1,109,60,147,40.8,Yes
MROH2B,109,51,147,34.7,No
TNXB,107,44,147,29.9,No
ZNF804B,107,57,147,38.8,No
HSPG2,106,50,147,34,No
PEG3,106,59,147,40.1,No
PLCE1,106,58,147,39.5,No
KMT2C,105,67,176,38.1,Yes
MYH1,105,54,176,30.7,No
MYO18B,105,54,147,36.7,No
ZNF536,105,46,147,31.3,No
CACNA1E,103,52,147,35.4,No
CMYA5,103,50,147,34,No
FBN1,103,61,147,41.5,No
SCN9A,103,54,147,36.7,No
COL15A1,102,50,147,34,No
NAV3,102,50,147,34,No
SPATA31D1,101,43,147,29.3,No
VWF,101,64,147,43.5,No
CFH,100,57,147,38.8,No
COL5A1,100,51,147,34.7,Yes
EPHA7,100,59,176,33.5,Yes
FAT2,100,58,147,39.5,No
MDGA2,100,57,147,38.8,No
SALL1,100,56,147,38.1,No
SPATA31H1,100,45,147,30.6,No
FNDC1,99,50,147,34,No
FREM2,99,49,147,33.3,No
PLEC,99,50,147,34,No
TG,99,54,147,36.7,No
CNTNAP2,98,55,147,37.4,No
DOCK2,98,54,147,36.7,No
MYH7,98,50,147,34,No
PKD1L1,98,52,147,35.4,No
DCHS2,97,54,147,36.7,No
MAGI2,97,60,176,34.1,Yes
MDN1,97,58,147,39.5,No
ALMS1,96,52,147,35.4,No
COL12A1,96,50,147,34,No
DNAH2,96,53,147,36.1,No
LRRIQ1,95,49,147,33.3,No
ACAN,94,46,147,31.3,No
CNTNAP5,94,42,147,28.6,No
DNAH17,94,51,147,34.7,No
FBN3,93,53,147,36.1,No
SCN1A,93,60,147,40.8,No
SRCAP,93,45,147,30.6,No
ABCC9,92,56,147,38.1,No
COL3A1,92,53,147,36.1,No
DCC,92,53,147,36.1,No
PTPRQ,92,45,147,30.6,No
VWDE,92,44,147,29.9,No
ANKRD30B,91,42,147,28.6,No
COL4A3,91,56,147,38.1,No
DNAH12,91,43,147,29.3,No
KDR,91,58,176,33,Yes
LAMA2,91,61,147,41.5,No
NPAP1,91,50,147,34,No
SYNE2,91,54,147,36.7,No
ADAMTS12,90,50,147,34,No
CDH23,90,45,147,30.6,No
ERBB4,90,60,176,34.1,Yes
RIMS1,90,44,147,29.9,No
STAB2,90,50,147,34,No
BLTP1,89,61,147,41.5,No
COL14A1,89,53,147,36.1,No
GPR158,89,52,147,35.4,No
GRIN2A,89,50,147,34,Yes
LAMA1,89,49,147,33.3,No
LRRC7,89,57,147,38.8,No
ATP10A,88,48,147,32.7,No
C6,88,56,147,38.1,No
PPFIA2,88,45,147,30.6,No
FLG2,87,49,147,33.3,No
TMEM132D,87,53,147,36.1,No
ANKRD30A,86,51,147,34.7,No
COL4A2,86,47,147,32,No
CRACD,86,51,147,34.7,No
PPP1R3A,86,50,147,34,No
PTPRT,86,49,147,33.3,Yes
PXDNL,86,44,147,29.9,No
AFF3,85,52,176,29.5,Yes
CNTNAP4,85,41,147,27.9,No
GRIN2B,85,50,147,34,No
MYH4,85,49,147,33.3,No
OTOF,85,48,147,32.7,No
OTOGL,85,47,147,32,No
CNTN6,84,40,147,27.2,No
PIK3CG,84,54,176,30.7,Yes
RIMS2,84,46,147,31.3,No
SLIT2,84,55,147,37.4,Yes
SPAG17,84,58,147,39.5,No
ASXL3,83,40,147,27.2,Yes
CDKN2A,83,72,176,40.9,Yes
MYH8,83,53,147,36.1,No
NALCN,83,48,147,32.7,No
PCDH17,83,45,147,30.6,No
PLCH1,83,44,147,29.9,No
SHROOM3,83,44,147,29.9,No
TEX15,83,43,147,29.3,No
ANK3,82,51,147,34.7,No
DST,82,44,147,29.9,No
FRAS1,82,40,147,27.2,No
FRY,82,52,147,35.4,No
MAP1A,82,52,147,35.4,No
MYO3A,82,41,147,27.9,No
FSCB,81,51,176,29,No
SCN7A,81,40,147,27.2,No
SHANK2,81,45,147,30.6,No
ABCA4,80,52,147,35.4,No
CFAP54,80,35,147,23.8,No
COL11A2,80,42,147,28.6,No
HECTD4,80,45,147,30.6,No
HMCN2,80,24,147,16.3,No
SPEN,80,52,147,35.4,Yes
THSD7B,80,44,147,29.9,No
TMEM132B,80,43,147,29.3,No
CD163L1,79,47,147,32,No
CFAP47,79,39,147,26.5,No
SCN10A,79,47,147,32,No
TMEM132C,79,35,147,23.8,No
TRPM6,79,49,147,33.3,No
ADAMTS20,78,42,147,28.6,No
EPHA5,78,50,176,28.4,Yes
MYH2,78,47,147,32,No
NLRP5,78,43,147,29.3,No
UBR4,78,43,147,29.3,No
ZNF804A,78,49,147,33.3,No
CFAP46,77,40,147,27.2,No
DSCAML1,77,45,147,30.6,No
PLCB4,77,47,147,32,No
PREX2,77,53,176,30.1,Yes
SACS,77,46,147,31.3,No
SPATA31E1,77,42,147,28.6,No
STXBP5L,77,48,147,32.7,No
TRIOBP,77,42,147,28.6,No
TRPM3,77,45,147,30.6,No
VPS13B,77,47,147,32,No
CACNA1H,76,41,147,27.9,No
CDH10,76,46,147,31.3,No
CNTN3,76,47,147,32,No
COL2A1,76,44,147,29.9,Yes
COL9A1,76,44,147,29.9,No
FLNC,76,43,147,29.3,No
IGFN1,75,42,147,28.6,No
PCDH9,75,45,147,30.6,No
PRDM9,75,47,147,32,No
VPS13D,75,45,147,30.6,No
ZNF521,75,50,147,34,Yes
COL5A3,74,42,147,28.6,No
DYNC2H1,74,43,147,29.3,No
HECW1,74,48,147,32.7,No
MTUS2,74,43,176,24.4,No
PLXNA4,74,47,147,32,No
AKAP6,73,45,147,30.6,No
CPAMD8,73,43,147,29.3,No
CPS1,73,41,147,27.9,Yes
DGKI,73,46,147,31.3,No
DYNC1H1,73,52,147,35.4,No
ITGA8,73,41,147,27.9,No
KCNB2,73,45,147,30.6,No
MUC3A,73,27,147,18.4,No
NRXN3,73,42,147,28.6,No
SIGLEC1,73,43,147,29.3,No
SPEG,73,42,147,28.6,No
ST18,73,48,147,32.7,No
VPS13C,73,43,147,29.3,No
ZBBX,73,39,147,26.5,No
CTNNA2,72,45,147,30.6,No
DLC1,72,42,176,23.9,No
EP400,72,46,147,31.3,Yes
EPHA3,72,46,176,26.1,Yes
HIVEP3,72,42,147,28.6,No
MAGEL2,72,38,147,25.9,No
MAP2,72,39,147,26.5,No
MYH14,72,43,147,29.3,No
NDST4,72,41,147,27.9,No
NLRP13,72,46,147,31.3,No
TNRC18,72,38,147,25.9,No
ADAMTS9,71,40,147,27.2,No
CACNA1A,71,41,147,27.9,No
CACNA1C,71,43,147,29.3,No
CACNA1S,71,47,147,32,No
COL1A1,71,42,176,23.9,Yes
EPHA6,71,33,147,22.4,No
F5,71,49,147,33.3,No
FN1,71,46,147,31.3,No
LRRTM4,71,41,147,27.9,No
MYO16,71,53,147,36.1,No
NES,71,50,147,34,No
NRXN1,71,38,147,25.9,No
RNF213,71,52,176,29.5,Yes
SZT2,71,41,147,27.9,Yes
HERC1,70,42,147,28.6,No
MYLK,70,42,147,28.6,No
PCSK5,70,38,147,25.9,No
RP1L1,70,39,147,26.5,No
SHANK1,70,44,147,29.9,No
TPTE,70,36,147,24.5,No
ADGB,69,41,147,27.9,No
ASTN1,69,46,147,31.3,No
DIDO1,69,45,147,30.6,No
GRM3,69,41,147,27.9,Yes
GRM8,69,49,147,33.3,No
LRP1,69,41,147,27.9,No
LRRK2,69,50,147,34,Yes
MYO7B,69,35,147,23.8,No
NAV2,69,49,147,33.3,No
NLGN1,69,47,147,32,No
NOTCH3,69,47,176,26.7,Yes
TLR4,69,43,147,29.3,No
TTBK1,69,39,147,26.5,No
ADGRL3,68,44,176,25,No
APC,68,48,176,27.3,Yes
CADPS,68,40,147,27.2,No
GLI2,68,35,147,23.8,No
HERC2,68,46,147,31.3,No
KCNH8,68,44,147,29.9,No
KIAA1549,68,46,176,26.1,Yes
LPA,68,46,147,31.3,No
MMP16,68,42,147,28.6,No
PCDHA1,68,48,147,32.7,No
PLCB1,68,46,147,31.3,No
SORCS1,68,39,147,26.5,No
SORCS3,68,49,147,33.3,No
ADGRL2,67,44,176,25,No
ASTN2,67,47,147,32,No
DYSF,67,44,147,29.9,No
KIAA1755,67,37,147,25.2,No
NPC1L1,67,36,147,24.5,No
PCDHA13,67,39,147,26.5,No
TECTA,67,39,147,26.5,No
ADAMTSL1,66,39,147,26.5,No
AMPH,66,43,147,29.3,No
CHD5,66,42,147,28.6,No
FAM186A,66,34,147,23.1,No
MGAM2,66,17,147,11.6,No
NCOA6,66,40,147,27.2,No
PPP1R9A,66,46,147,31.3,No
SDK2,66,43,147,29.3,No
TRHDE,66,45,147,30.6,No
ADAMTS18,65,40,147,27.2,No
C3,65,40,147,27.2,No
CCDC141,65,42,147,28.6,No
CREBBP,65,45,176,25.6,Yes
DCDC1,65,40,147,27.2,No
EP300,65,51,176,29,Yes
MAGEC1,65,35,147,23.8,No
TPO,65,46,147,31.3,No
WNK2,65,38,147,25.9,No
ZFHX3,65,45,147,30.6,Yes
BRINP3,64,41,147,27.9,No
CRB1,64,43,147,29.3,No
FLNB,64,49,176,27.8,No
GREB1,64,36,147,24.5,No
LOXHD1,64,35,147,23.8,No
MUC5AC,64,23,147,15.6,No
PTPRC,64,39,147,26.5,Yes
RBMXL3,64,37,147,25.2,No
SCN11A,64,43,147,29.3,No
SCN5A,64,36,147,24.5,No
SLC8A1,64,40,176,22.7,No
SPTBN5,64,40,147,27.2,No
TAF1L,64,37,147,25.2,No
TRIO,64,44,147,29.9,No
COL5A2,63,46,147,31.3,No
CTTNBP2,63,41,147,27.9,No
DPP10,63,33,147,22.4,No
FAM47A,63,45,147,30.6,No
LAMA5,63,50,176,28.4,No
PALM2AKAP2,63,39,147,26.5,No
PTPRM,63,37,147,25.2,No
SLX4,63,43,147,29.3,Yes
SRRM2,63,44,147,29.9,No
STAB1,63,38,147,25.9,No
TRPA1,63,45,147,30.6,No
ZAN,63,31,147,21.1,No
ARID2,62,46,176,26.1,Yes
ATP13A4,62,38,147,25.9,No
CD163,62,39,147,26.5,No
CUX2,62,34,147,23.1,No
DMXL2,62,44,147,29.9,No
HCN1,62,38,147,25.9,No
LYST,62,40,147,27.2,No
PAPPA,62,43,147,29.3,No
PDE10A,62,44,147,29.9,No
PDE3A,62,40,147,27.2,No
PREX1,62,41,147,27.9,No
SCN3A,62,38,147,25.9,No
SPTB,62,42,147,28.6,No
TRPM1,62,40,147,27.2,No
ZNF229,62,40,147,27.2,No
ACACB,61,41,147,27.9,No
CFAP61,61,43,147,29.3,No
CNTN5,61,40,147,27.2,No
KCNT2,61,35,147,23.8,No
KIF1A,61,36,147,24.5,No
MYCBP2,61,43,147,29.3,No
MYH11,61,42,176,23.9,Yes
MYH6,61,46,147,31.3,No
PRKDC,61,51,176,29,Yes
SDK1,61,43,147,29.3,No
SLC4A4,61,39,147,26.5,No
SLCO1C1,61,42,147,28.6,No
SPEF2,61,42,147,28.6,No
TENM1,61,41,147,27.9,No
TET1,61,44,176,25,Yes
ANO5,60,43,147,29.3,No
ARID1A,60,39,176,22.2,Yes
CACNA1B,60,41,176,23.3,No
COL20A1,60,35,147,23.8,No
DCHS1,60,41,147,27.9,No
FGD5,60,38,147,25.9,No
NWD1,60,44,147,29.9,No
PAK5,60,50,176,28.4,Yes
SCN2A,60,40,147,27.2,No
TCF20,60,34,147,23.1,No
ANKRD11,59,41,147,27.9,Yes
ARFGEF3,59,37,147,25.2,No
CACNA1D,59,38,147,25.9,Yes
CHL1,59,37,147,25.2,No
FILIP1,59,39,147,26.5,No
GPR179,59,35,147,23.8,No
HFM1,59,42,147,28.6,No
KMT2A,59,39,176,22.2,Yes
MYH15,59,39,147,26.5,No
MYO7A,59,39,147,26.5,No
MYOCD,59,41,147,27.9,No
NCAM2,59,38,147,25.9,No
PDE4DIP,59,41,147,27.9,Yes
PIEZO2,59,34,147,23.1,No
TENM2,59,41,147,27.9,No
TNR,59,35,147,23.8,No
ABCA8,58,38,147,25.9,No
ABCC12,58,43,147,29.3,No
ABCC8,58,39,147,26.5,No
ALK,58,41,176,23.3,Yes
CELSR3,58,44,147,29.9,No
DMBT1,58,31,147,21.1,No
F8,58,36,147,24.5,No
FER1L6,58,40,147,27.2,No
GRM5,58,40,147,27.2,No
HELZ2,58,35,147,23.8,No
HRNR,58,36,147,24.5,No
MEGF8,58,34,147,23.1,No
MKI67,58,38,147,25.9,Yes
MYH13,58,35,147,23.8,No
NLRP8,58,35,147,23.8,No
NYAP2,58,35,147,23.8,No
PCDHA4,58,37,147,25.2,No
PDZD2,58,46,147,31.3,No
RFX6,58,39,147,26.5,No
SLITRK3,58,42,147,28.6,No
ADAMTSL3,57,35,176,19.9,No
ADCY8,57,39,147,26.5,No
CEP350,57,42,147,28.6,No
CFAP65,57,38,147,25.9,No
CFTR,57,37,147,25.2,No
CLSTN2,57,40,147,27.2,No
CR1,57,32,147,21.8,No
CTNND2,57,38,147,25.9,No
DGKB,57,37,147,25.2,No
DNAH1,57,36,147,24.5,No
GRIN3A,57,37,147,25.2,No
HUWE1,57,41,147,27.9,No
ITPR2,57,39,147,26.5,No
KIF26B,57,37,147,25.2,No
KLHL1,57,37,147,25.2,No
KMT2B,57,31,147,21.1,Yes
MGA,57,35,147,23.8,Yes
NF1,57,45,176,25.6,Yes
PXDN,57,36,147,24.5,No
TNN,57,39,147,26.5,No
VPS13A,57,41,147,27.9,No
ATR,56,42,176,23.9,Yes
BAHCC1,56,29,147,19.7,No
C7,56,34,147,23.1,No
GRID2,56,38,147,25.9,No
GRM1,56,37,147,25.2,No
KCNQ3,56,44,147,29.9,No
LAMA4,56,41,147,27.9,No
MYT1L,56,32,147,21.8,No
NLRP2,56,40,176,22.7,No
NLRP3,56,38,147,25.9,No
NLRP7,56,35,147,23.8,No
NRXN2,56,36,147,24.5,No
RGS7,56,36,147,24.5,No
TACC2,56,41,147,27.9,No
TNIK,56,32,147,21.8,No
TSHZ3,56,35,147,23.8,No
USP29,56,33,147,22.4,No
ADAMTS16,55,35,147,23.8,No
ADGRL4,55,40,147,27.2,No
AK9,55,38,147,25.9,No
ANKFN1,55,35,147,23.8,No
ANKS1B,55,40,147,27.2,No
BRINP1,55,37,147,25.2,No
DLG2,55,31,147,21.1,No
HIVEP2,55,38,147,25.9,No
JCAD,55,37,147,25.2,No
NLRP4,55,39,147,26.5,No
NRAP,55,37,147,25.2,No
PKD1,55,38,147,25.9,No
WDR17,55,37,147,25.2,No
COL7A1,54,40,147,27.2,No
DCLK1,54,40,147,27.2,No
GRID1,54,36,147,24.5,No
KNL1,54,39,176,22.2,Yes
MAP1B,54,35,147,23.8,No
NCKAP5,54,30,147,20.4,No
NLRP12,54,37,147,25.2,No
NLRP9,54,39,147,26.5,No
PTPRO,54,39,147,26.5,Yes
SAMD9L,54,37,147,25.2,Yes
SMARCA4,54,38,176,21.6,Yes
ZSCAN18,54,34,147,23.1,No
ADAMTS2,53,39,147,26.5,No
ALPK2,53,36,147,24.5,No
ASH1L,53,39,147,26.5,No
DENND2A,53,35,147,23.8,No
ENAM,53,37,147,25.2,No
FCRL3,53,39,147,26.5,No
HGF,53,36,176,20.5,Yes
HTT,53,41,147,27.9,No
KCNH5,53,34,147,23.1,No
LAMA3,53,33,147,22.4,No
LEPR,53,36,147,24.5,No
NPHS1,53,35,147,23.8,No
NTRK3,53,40,176,22.7,Yes
PLXNA2,53,36,147,24.5,No
POLQ,53,38,147,25.9,Yes
PPRC1,53,36,147,24.5,No
RUNX1T1,53,41,176,23.3,Yes
SCAND3,53,35,147,23.8,No
SLCO1B3,53,31,176,17.6,No
UNC5D,53,39,147,26.5,No
UTRN,53,41,147,27.9,No
VWA5B1,53,32,147,21.8,No
WDR49,53,28,147,19,No
ATP13A5,52,34,147,23.1,No
CELSR2,52,37,147,25.2,No
CFHR5,52,32,147,21.8,No
COL16A1,52,33,147,22.4,No
DOCK4,52,34,147,23.1,No
FCRL4,52,42,176,23.9,Yes
GRM7,52,37,147,25.2,No
IGSF10,52,33,147,22.4,No
ITPR1,52,36,147,24.5,No
NID2,52,38,147,25.9,No
OR4A15,52,36,147,24.5,No
PCDHA2,52,40,147,27.2,No
PDZRN3,52,35,147,23.8,No
POM121L12,52,31,147,21.1,No
SEMA5B,52,38,147,25.9,No
SIPA1L1,52,33,147,22.4,No
STARD9,52,31,147,21.1,No
TENM3,52,35,147,23.8,No
TEP1,52,40,147,27.2,No
TLN2,52,39,147,26.5,No
TOPAZ1,52,38,147,25.9,No
WDR72,52,40,147,27.2,No
ZNF541,52,28,147,19,No
ABCA9,51,35,147,23.8,No
ADAMTS10,51,34,147,23.1,No
ADAMTS7,51,35,147,23.8,No
ARHGEF17,51,34,147,23.1,No
ASPM,51,33,147,22.4,No
C2ORF78,51,31,147,21.1,No
CARD11,51,40,176,22.7,Yes
CASR,51,32,147,21.8,Yes
FCRL5,51,37,147,25.2,No
FIGN,51,35,147,23.8,No
GREB1L,51,29,147,19.7,No
HECW2,51,37,147,25.2,No
IMPG1,51,36,147,24.5,No
PCDHA8,51,34,147,23.1,No
PTPRN2,51,33,147,22.4,No
PZP,51,40,147,27.2,No
TMPRSS15,51,32,147,21.8,No
VCAM1,51,36,147,24.5,No
WDFY3,51,39,147,26.5,No
ZFHX2,51,31,147,21.1,No
ABCB1,50,36,176,20.5,Yes
ATRNL1,50,35,147,23.8,No
COL28A1,50,36,147,24.5,No
CTNNA3,50,29,147,19.7,No
DLGAP3,50,32,147,21.8,No
EPPK1,50,29,147,19.7,No
ITPRID1,50,36,147,24.5,No
LRRIQ3,50,37,147,25.2,No
MORC1,50,35,147,23.8,No
NCOR2,50,29,147,19.7,Yes
NFATC4,50,28,147,19,No
PARD3,50,36,147,24.5,No
PCDHGA12,50,34,147,23.1,No
RANBP2,50,33,176,18.8,Yes
SETD1A,50,35,147,23.8,Yes
ABI3BP,49,29,147,19.7,No
ADAM28,49,36,147,24.5,No
AFF2,49,33,147,22.4,No
AMER3,49,28,147,19,No
CACNA1I,49,27,147,18.4,No
GOLGB1,49,35,147,23.8,No
KCNU1,49,33,147,22.4,No
MYO9A,49,37,147,25.2,No
PCDHA6,49,31,147,21.1,No
PDE1C,49,31,147,21.1,No
PEX5L,49,37,147,25.2,No
RANBP17,49,31,147,21.1,No
ROBO2,49,29,176,16.5,No
SEMA3E,49,36,147,24.5,No
SLCO4C1,49,30,147,20.4,No
SORL1,49,35,147,23.8,No
TANC1,49,36,147,24.5,No
TDRD6,49,36,147,24.5,No
ABCA6,48,33,147,22.4,No
AGRN,48,33,147,22.4,No
ANK1,48,32,147,21.8,Yes
CACNA1G,48,29,147,19.7,No
CDH11,48,31,147,21.1,Yes
CR2,48,38,147,25.9,No
GABBR2,48,36,147,24.5,No
GTF3C1,48,38,147,25.9,No
KCNA4,48,40,147,27.2,No
KCNB1,48,31,147,21.1,No
KIF26A,48,32,147,21.8,No
LRRC4C,48,32,147,21.8,No
MBD5,48,33,147,22.4,No
MECOM,48,31,147,21.1,Yes
NID1,48,29,147,19.7,No
NUP210L,48,37,147,25.2,No
NWD2,48,30,147,20.4,No
PRKD1,48,29,147,19.7,Yes
RNF17,48,36,147,24.5,No
SEMA3A,48,37,147,25.2,No
SLC9C1,48,29,147,19.7,No
TENM4,48,33,147,22.4,No
TRRAP,48,35,147,23.8,Yes
TTC28,48,34,147,23.1,No
VWA3B,48,31,147,21.1,No
ABCA1,47,36,147,24.5,No
ATG2A,47,32,147,21.8,No
ATP10B,47,34,147,23.1,No
BCLAF1,47,29,147,19.7,No
BRCA2,47,36,176,20.5,Yes
CACNA2D1,47,31,147,21.1,No
CASZ1,47,33,147,22.4,No
CCNB3,47,33,147,22.4,Yes
CELSR1,47,33,147,22.4,No
CYLC1,47,28,147,19,No
DOCK3,47,31,147,21.1,No
DZIP3,47,34,147,23.1,No
ENPEP,47,35,147,23.8,No
KLHDC7A,47,32,147,21.8,No
KNDC1,47,33,147,22.4,No
LRFN5,47,32,147,21.8,No
MED12L,47,36,147,24.5,No
MS4A14,47,32,147,21.8,No
NOTCH4,47,32,176,18.2,Yes
OTOG,47,29,147,19.7,No
PCDHA12,47,31,147,21.1,No
PLXNB2,47,35,147,23.8,No
RAG1,47,37,147,25.2,No
SEMA3D,47,33,147,22.4,No
SETD1B,47,30,147,20.4,Yes
SIGLEC12,47,33,147,22.4,No
SLIT3,47,31,147,21.1,Yes
TNS3,47,30,147,20.4,No
TRPC4,47,36,147,24.5,No
UBR5,47,35,147,23.8,Yes
USP34,47,33,147,22.4,No
ZFYVE26,47,35,147,23.8,No
ZNF729,47,22,147,15,No
ZNF835,47,27,147,18.4,No
ZZEF1,47,35,147,23.8,No
ADAMTS19,46,34,147,23.1,No
AKAP12,46,39,147,26.5,No
ALPK3,46,35,147,23.8,No
BIRC6,46,33,147,22.4,No
C10ORF71,46,28,147,19,No
CCDC187,46,18,147,12.2,No
CDH7,46,35,147,23.8,No
CDH9,46,34,147,23.1,No
CHGB,46,31,147,21.1,No
COL18A1,46,29,147,19.7,No
DISP3,46,33,147,22.4,No
EGFLAM,46,25,147,17,No
FPGT-TNNI3K,46,27,147,18.4,No
GRIA2,46,36,147,24.5,No
INTS1,46,33,147,22.4,No
ITGAD,46,35,147,23.8,No
MMRN1,46,31,147,21.1,No
NFATC2,46,35,147,23.8,Yes
NUP214,46,33,147,22.4,Yes
PCDHB15,46,37,147,25.2,No
PCDHB5,46,32,147,21.8,No
PLCL2,46,30,147,20.4,No
RGPD4,46,26,147,17.7,No
SALL3,46,30,147,20.4,No
SGIP1,46,33,147,22.4,No
SIPA1L3,46,34,147,23.1,No
TDRD15,46,24,147,16.3,No
TSPOAP1,46,34,147,23.1,No
UNC13A,46,28,147,19,No
ZDBF2,46,32,147,21.8,No
ABCA2,45,31,147,21.1,No
BTBD8,45,31,147,21.1,No
CACNA2D4,45,32,147,21.8,No
COL21A1,45,26,147,17.7,No
COL27A1,45,34,147,23.1,No
GRIA4,45,35,147,23.8,No
GRIK2,45,33,147,22.4,No
IQGAP2,45,33,147,22.4,No
KCNH7,45,38,147,25.9,No
KIF2B,45,29,147,19.7,No
MAST4,45,26,147,17.7,No
MEFV,45,34,147,23.1,No
NBAS,45,33,147,22.4,No
NSD1,45,35,176,19.9,Yes
PCDH11X,45,30,147,20.4,No
PCDHB4,45,31,147,21.1,No
PRR12,45,29,147,19.7,No
PTCH1,45,35,176,19.9,Yes
SFMBT2,45,32,147,21.8,No
SHROOM4,45,31,147,21.1,No
SLC8A3,45,30,147,20.4,No
SPTBN4,45,37,147,25.2,No
STYXL2,45,33,147,22.4,No
TRIM42,45,30,147,20.4,No
UNC5C,45,33,147,22.4,No
XIRP1,45,31,147,21.1,No
ZNF462,45,31,147,21.1,No
ZNF99,45,30,147,20.4,No
A2M,44,30,147,20.4,No
ATP8A1,44,35,147,23.8,No
CAMTA1,44,28,147,19,Yes
CCDC180,44,35,147,23.8,No
CDH2,44,37,176,21,Yes
CENPF,44,35,147,23.8,No
CHD7,44,32,147,21.8,No
CYP2C19,44,31,176,17.6,No
ELAPOR2,44,32,147,21.8,No
FREM1,44,27,147,18.4,No
ITPR3,44,35,147,23.8,No
LILRA1,44,33,147,22.4,No
MAGI3,44,35,176,19.9,No
MICAL3,44,32,147,21.8,No
MYPN,44,31,147,21.1,No
OCA2,44,30,147,20.4,No
PLPPR4,44,35,147,23.8,No
RIMBP2,44,30,147,20.4,No
SLC12A1,44,32,147,21.8,No
SLC12A5,44,32,147,21.8,No
SLIT1,44,31,147,21.1,No
ST6GAL2,44,32,147,21.8,No
UGT2B7,44,33,147,22.4,No
VEPH1,44,32,147,21.8,No
ADAMTS3,43,30,147,20.4,No
ADCY10,43,33,147,22.4,No
ADGRF5,43,29,147,19.7,No
ADGRG4,43,34,147,23.1,Yes
ATP8B4,43,30,147,20.4,No
C14ORF39,43,27,147,18.4,No
CADPS2,43,27,147,18.4,No
CDH19,43,30,147,20.4,No
CNTN4,43,23,147,15.6,No
CNTRL,43,37,147,25.2,Yes
COL6A2,43,33,147,22.4,No
FAM171A1,43,34,147,23.1,No
FASN,43,35,147,23.8,No
FSHR,43,26,147,17.7,No
GABRG1,43,31,147,21.1,No
KCNJ3,43,32,147,21.8,No
KIAA1210,43,29,147,19.7,No
KIAA1549L,43,33,147,22.4,No
MED13L,43,32,147,21.8,No
MINAR1,43,26,147,17.7,No
MSR1,43,34,147,23.1,No
MTCL1,43,31,147,21.1,No
