endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family
hgsc_m_stage,Kndc1,Disease aggressiveness,Within-study,HGSC M stage,6,M_STAGE,M0,M1,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,32,7,21.875,7,3,42.857142857142854,20.982142857142854,2.6013081455367337,0.30807799225258553,19.869485589736144,2.6444444444444444,1.4029646669782687,0.3437217121427647,1,1
hgsc_recurrence_persistence,Foxp4,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,2,8.695652173913043,14,4,28.571428571428573,19.87577639751553,4.026057109442828,0.48387712833305596,51.59607308064978,3.6857142857142855,1.8819442384782876,0.17345654478007405,0.9366653418123999,1
hgsc_recurrence_persistence,Kndc1,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,4,17.391304347826086,14,6,42.857142857142854,25.465838509316768,3.430254994154578,0.6195335611377125,21.597950138657644,3.3137254901960786,1.7284540943106887,0.1322342348237133,0.9366653418123999,1
hgsc_efs_status,Foxp4,Disease aggressiveness,Within-study,HGSC event-free status,8,EFS_STATUS,Censored,Event,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,11,0,0,21,4,19.047619047619047,19.047619047619047,Inf,0.353480498287239,Inf,5.914285714285715,2.564203940554359,0.27196885428253614,1,1
hgsc_efs_status,Kndc1,Disease aggressiveness,Within-study,HGSC event-free status,8,EFS_STATUS,Censored,Event,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,11,1,9.090909090909092,21,7,33.333333333333336,24.242424242424242,4.78902008014862,0.48280107274057005,247.13195239953595,3.6206896551724137,1.8562645225385506,0.20926813268303815,1,1
ranson_nodal_stage,Foxp4,Disease aggressiveness,Within-study,Ranson nodal stage,9,NODAL_STAGE,N1/N2,N3,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,6,1,16.666666666666668,19,2,10.526315789473685,-6.140350877192983,0.6022164157857254,0.025837561814872758,41.57069793385836,0.5238095238095238,-0.9328858041414629,1,1,1
ranson_nodal_stage,Kndc1,Disease aggressiveness,Within-study,Ranson nodal stage,9,NODAL_STAGE,N1/N2,N3,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,6,5,83.33333333333333,19,11,57.89473684210526,-25.43859649122807,0.2879601887128616,0.005184157528942272,3.3663463776611255,0.3689839572192513,-1.4383700031094677,0.3644268774703557,0.9839525691699604,1
ranson_grade,Foxp4,Disease aggressiveness,Within-study,Ranson grade,10,GRADE,Grade 1/2,Grade 3,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,6,0,0,15,2,13.333333333333334,13.333333333333334,Inf,0.07249571070046938,Inf,2.4074074074074074,1.267480310864986,1,1,1
ranson_grade,Kndc1,Disease aggressiveness,Within-study,Ranson grade,10,GRADE,Grade 1/2,Grade 3,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,6,4,66.66666666666667,15,10,66.66666666666667,0,1,0.06807160858610269,10.323997487095042,1.0606060606060606,0.08488889758651294,1,1,1
ranson_extracapsular_spread,Foxp4,Disease aggressiveness,Within-study,Ranson extracapsular spread,11,EXTRACAPSULAR_SPREAD,No,Yes,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,5,1,20,18,2,11.11111111111111,-8.88888888888889,0.5176094033918828,0.02129528796515568,36.79678244866915,0.45454545454545453,-1.137503523749935,0.5392433653303219,1,1
ranson_extracapsular_spread,Kndc1,Disease aggressiveness,Within-study,Ranson extracapsular spread,11,EXTRACAPSULAR_SPREAD,No,Yes,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,5,4,80,18,11,61.111111111111114,-18.888888888888886,0.4076484946080833,0.0070000206328535075,5.372690869663932,0.5111111111111111,-0.9682911402726619,0.6213854795090492,1,1
dfci_dfs_status,Foxp4,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
dfci_dfs_status,Kndc1,Disease aggressiveness,Within-study,DFCI disease-free status,12,DFS_STATUS,Disease free,Recurred / progressed,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_missing_endpoint_group,0,0,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA
recurrence_pooled,Foxp4,Recurrence / progression,Pooled study-adjusted primary analysis,Disease-free vs recurrent / progressed (DFCI + HGSC),13,DFS_STATUS or DISEASE_RECURRENCE_OR_PERSISTENCE,Disease free,Recurred / progressed,Foxp4 / FOXP4,Initiation (I),FOXP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,2,8.695652173913043,14,4,28.571428571428573,19.87577639751553,4.026057109442828,0.48387712833305596,51.59607308064978,3.6857142857142855,1.8819442384782876,0.17345654478007405,0.9779443817631673,0.9779443817631673
recurrence_pooled,Kndc1,Recurrence / progression,Pooled study-adjusted primary analysis,Disease-free vs recurrent / progressed (DFCI + HGSC),13,DFS_STATUS or DISEASE_RECURRENCE_OR_PERSISTENCE,Disease free,Recurred / progressed,Kndc1 / KNDC1,Initiation (I),KNDC1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,4,17.391304347826086,14,6,42.857142857142854,25.465838509316768,3.430254994154578,0.6195335611377125,21.597950138657644,3.3137254901960786,1.7284540943106887,0.1322342348237133,0.9779443817631673,0.9779443817631673
