endpoint_id,gene_symbol,analysis_family,analysis_scope,endpoint_label,endpoint_order,clinical_attribute,reference_group,case_group,gene_label,candidate_group,human_symbols,mutation_definition,test_status,n_reference_profiled,n_reference_mutated,reference_prevalence_pct,n_case_profiled,n_case_mutated,case_prevalence_pct,prevalence_difference_pct,odds_ratio,odds_ratio_conf_low,odds_ratio_conf_high,corrected_odds_ratio,corrected_log2_odds_ratio,p_value,q_value_within_endpoint,q_value_analysis_family
hgsc_recurrence_persistence,Otog,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Otog / OTOG,Initiation (I),OTOG,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_no_mutation_variation,23,0,0,14,0,0,0,NA,NA,NA,1.6206896551724137,0.6966078565500652,NA,NA,NA
hgsc_recurrence_persistence,Pkp4,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Pkp4 / PKP4,Initiation (I),PKP4,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,5,21.73913043478261,14,3,21.428571428571427,-0.31055900621118226,0.9823032552659758,0.12705083245161575,6.288808923682635,1.023715415019763,0.03381471299224388,1,1,1
hgsc_recurrence_persistence,Plce1,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Plce1 / PLCE1,Initiation (I),PLCE1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,9,39.130434782608695,14,6,42.857142857142854,3.7267080745341588,1.1617898487560332,0.24231233989402806,5.453476292225335,1.1671826625386996,0.2230303585747393,1,1,1
hgsc_recurrence_persistence,Ppp1r14d,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Ppp1r14d / PPP1R14D,Initiation (I),PPP1R14D,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,2,8.695652173913043,14,2,14.285714285714286,5.5900621118012435,1.7224991097632256,0.111481025063107,26.660936255903906,1.72,0.7824085649273732,0.6245892951775303,1,1
hgsc_recurrence_persistence,Rad51b,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Rad51b / RAD51B,Initiation (I),RAD51B,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,2,8.695652173913043,14,4,28.571428571428573,19.87577639751553,4.026057109442828,0.48387712833305596,51.59607308064978,3.6857142857142855,1.8819442384782876,0.17345654478007405,0.9366653418123999,1
hgsc_recurrence_persistence,Rasd2,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Rasd2 / RASD2,Initiation (I),RASD2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,0,0,14,2,14.285714285714286,14.285714285714286,Inf,0.31621262475601425,Inf,9.4,3.232660756790275,0.13663663663663658,0.9366653418123999,1
hgsc_recurrence_persistence,Spats2l,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Spats2l / SPATS2L,Initiation (I),SPATS2L,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,3,13.043478260869565,14,2,14.285714285714286,1.242236024844722,1.1079197599213735,0.08154155546091102,11.197551093789553,1.1714285714285715,0.22826898767311732,0.9999999999999999,1,1
hgsc_recurrence_persistence,Srgap1,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Srgap1 / SRGAP1,Initiation (I),SRGAP1,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,2,8.695652173913043,14,1,7.142857142857143,-1.5527950310558998,0.8122659420607088,0.01273079648619082,17.08842776685857,0.9555555555555556,-0.06558834162757671,1,1,1
hgsc_recurrence_persistence,Tmprss9,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Tmprss9 / TMPRSS9,Initiation (I),TMPRSS9,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,2,8.695652173913043,14,1,7.142857142857143,-1.5527950310558998,0.8122659420607088,0.01273079648619082,17.08842776685857,0.9555555555555556,-0.06558834162757671,1,1,1
hgsc_recurrence_persistence,Ube2d2a,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Ube2d2a / UBE2D2,Initiation (I),UBE2D2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,not_testable_no_mutation_variation,23,0,0,14,0,0,0,NA,NA,NA,1.6206896551724137,0.6966078565500652,NA,NA,NA
hgsc_recurrence_persistence,Usp3,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Usp3 / USP3,Initiation (I),USP3,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,1,4.3478260869565215,14,1,7.142857142857143,2.7950310559006217,1.6673271201109965,0.02003293632979106,138.62123238861807,1.6666666666666667,0.7369655941662062,1,1,1
hgsc_recurrence_persistence,Xirp2,Disease aggressiveness,Within-study,HGSC recurrence / persistence,7,DISEASE_RECURRENCE_OR_PERSISTENCE,No,Yes,Xirp2 / XIRP2,Initiation (I),XIRP2,Any nonsynonymous mutation in the mapped human orthologue; exact mouse variants are not matched.,tested,23,17,73.91304347826087,14,9,64.28571428571429,-9.627329192546583,0.6433712251870303,0.1215386205044577,3.4713437820518642,0.64155844155844155,-0.640347403997586,0.7129772987670651,1,1
