contrast,odds_ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,raw_warning,model_rows,model_samples,convergence,pdHess
TES Acetone / TES DT,1.8121921461362716,0.290908318549551,Inf,1.23396859950904,2.6613646212915,1,3.70362637811184,0.00063761766723724066,Model convergence problem; false convergence (8),13686,45,1,TRUE
TES Acetone / WES DT,2.80003489256466,1.11907423907538,Inf,1.07556209162982,7.28939357438599,1,2.57624122357909,0.0149821407035035,Model convergence problem; false convergence (8),13686,45,1,TRUE
TES DT / WES DT,1.54510927471711,0.504605404990175,Inf,0.706991318163696,3.37679206163048,1,1.33226626298135,0.182772709077318,Model convergence problem; false convergence (8),13686,45,1,TRUE
