gt_DP,gt_dp_bins,tissue,n_mutations,pct_mutations
97,50-99,Skin,9,0.03398663192477625
98,50-99,Hair follicle,10,0.03776292436086251
98,50-99,Skin,4,0.015105169744345002
99,50-99,Hair follicle,8,0.030210339488690004
99,50-99,Skin,8,0.030210339488690004
100,100-499,Hair follicle,12,0.045315509233035005
100,100-499,Skin,5,0.018881462180431255
101,100-499,Hair follicle,20,0.07552584872172502
101,100-499,Skin,8,0.030210339488690004
102,100-499,Hair follicle,20,0.07552584872172502
102,100-499,Skin,4,0.015105169744345002
103,100-499,Hair follicle,14,0.05286809410520751
103,100-499,Skin,2,0.007552584872172501
104,100-499,Hair follicle,13,0.049091801669121256
104,100-499,Skin,7,0.026434047052603753
105,100-499,Hair follicle,13,0.049091801669121256
105,100-499,Skin,9,0.03398663192477625
106,100-499,Hair follicle,12,0.045315509233035005
106,100-499,Skin,6,0.022657754616517502
107,100-499,Hair follicle,11,0.041539216796948754
107,100-499,Skin,8,0.030210339488690004
108,100-499,Hair follicle,13,0.049091801669121256
108,100-499,Skin,9,0.03398663192477625
109,100-499,Hair follicle,11,0.041539216796948754
109,100-499,Skin,8,0.030210339488690004
110,100-499,Hair follicle,12,0.045315509233035005
110,100-499,Skin,3,0.011328877308258751
111,100-499,Hair follicle,6,0.022657754616517502
111,100-499,Skin,5,0.018881462180431255
112,100-499,Hair follicle,11,0.041539216796948754
112,100-499,Skin,6,0.022657754616517502
113,100-499,Hair follicle,16,0.06042067897738001
113,100-499,Skin,6,0.022657754616517502
114,100-499,Hair follicle,6,0.022657754616517502
114,100-499,Skin,3,0.011328877308258751
115,100-499,Hair follicle,13,0.049091801669121256
115,100-499,Skin,2,0.007552584872172501
116,100-499,Hair follicle,20,0.07552584872172502
116,100-499,Skin,9,0.03398663192477625
117,100-499,Hair follicle,11,0.041539216796948754
117,100-499,Skin,8,0.030210339488690004
118,100-499,Hair follicle,8,0.030210339488690004
118,100-499,Skin,8,0.030210339488690004
119,100-499,Hair follicle,13,0.049091801669121256
119,100-499,Skin,3,0.011328877308258751
120,100-499,Hair follicle,16,0.06042067897738001
120,100-499,Skin,5,0.018881462180431255
121,100-499,Hair follicle,10,0.03776292436086251
121,100-499,Skin,8,0.030210339488690004
122,100-499,Hair follicle,12,0.045315509233035005
122,100-499,Skin,5,0.018881462180431255
123,100-499,Hair follicle,12,0.045315509233035005
123,100-499,Skin,4,0.015105169744345002
124,100-499,Hair follicle,18,0.0679732638495525
124,100-499,Skin,3,0.011328877308258751
125,100-499,Hair follicle,14,0.05286809410520751
125,100-499,Skin,11,0.041539216796948754
126,100-499,Hair follicle,5,0.018881462180431255
126,100-499,Skin,7,0.026434047052603753
127,100-499,Hair follicle,18,0.0679732638495525
127,100-499,Skin,4,0.015105169744345002
128,100-499,Hair follicle,15,0.056644386541293765
128,100-499,Skin,4,0.015105169744345002
129,100-499,Hair follicle,12,0.045315509233035005
129,100-499,Skin,8,0.030210339488690004
130,100-499,Hair follicle,6,0.022657754616517502
130,100-499,Skin,6,0.022657754616517502
131,100-499,Hair follicle,12,0.045315509233035005
131,100-499,Skin,4,0.015105169744345002
132,100-499,Hair follicle,10,0.03776292436086251
132,100-499,Skin,6,0.022657754616517502
133,100-499,Hair follicle,6,0.022657754616517502
133,100-499,Skin,4,0.015105169744345002
134,100-499,Hair follicle,10,0.03776292436086251
134,100-499,Skin,5,0.018881462180431255
135,100-499,Hair follicle,10,0.03776292436086251
135,100-499,Skin,4,0.015105169744345002
136,100-499,Hair follicle,11,0.041539216796948754
