sample_name,tissue,time,category,n_nonsynonymous_mutations,callable_mbp,nonsynonymous_mutations_per_mbp
hairfollicle21-g3-w8,Hair follicle,Week 8,Visually normal,0,0.721269,0
hairfollicle21-g4-w14,Hair follicle,Week 14,Visually normal,9,0.624356,14.41485306459776
hairfollicle21-g4-w17,Hair follicle,Week 17,SCC,6,1.049966,5.714470754291091
hairfollicle21-g4-w8,Hair follicle,Week 8,Visually normal,2,2.359885,0.8474989247357393
hairfollicle21-g5-w17,Hair follicle,Week 17,Visually normal,4,2.175575,1.8385943945853396
hairfollicle21-g6-w17,Hair follicle,Week 17,Visually normal,3,0.763519,3.929175305395151
hairfollicle21-g6-w8,Hair follicle,Week 8,Visually normal,2,0.588555,3.3981531037880908
hairfollicle21-g7-w14,Hair follicle,Week 14,Visually normal,0,0.574904,0
hairfollicle21-g7-w17,Hair follicle,Week 17,Visually normal,0,0.742954,0
hairfollicle21-g7-w8,Hair follicle,Week 8,Visually normal,0,0.442895,0
skin21-b5-w19,Skin,Skin 19,Visually normal,5,13.828287,0.36157768492944936
skin21-b6-w19,Skin,Skin 19,SCC,4,14.991408,0.26681950087676887
skin21-b7-w19,Skin,Skin 19,SCC,9,12.916857,0.6967639263947878
skin21-c5-w19,Skin,Skin 19,Visually normal,8,14.476041,0.5526372852909162
skin21-c6-w19,Skin,Skin 19,Visually normal,2,7.706756,0.25951256274364987
skin21-c7-w19,Skin,Skin 19,SCC,2,7.957113,0.25134744221930744
skin21-d1-w19,Skin,Skin 19,Visually normal,8,14.023003,0.5704912136152293
skin21-d2-w19,Skin,Skin 19,Papilloma,3,8.618273,0.34809758289160714
skin21-d3-w19,Skin,Skin 19,Visually normal,5,15.925932,0.3139533686317385
skin21-d4-w19,Skin,Skin 19,Visually normal,5,15.251175,0.32784359237894783
skin21-e1-w19,Skin,Skin 19,Papilloma,1,7.519725,0.13298358650083614
skin21-e2-w19,Skin,Skin 19,Papilloma,4,7.364843,0.5431208784762961
skin21-e3-w19,Skin,Skin 19,Visually normal,2,7.499677,0.26667815160572916
skin21-e4-w19,Skin,Skin 19,SCC,2,7.89452,0.25334029174668
skin21-f1-w19,Skin,Skin 19,Papilloma,4,13.946935,0.2868013653178996
skin21-f2-w19,Skin,Skin 19,Visually normal,0,3.761058,0
skin21-f3-w19,Skin,Skin 19,Visually normal,1,7.692878,0.12999036251452317
skin21-f4-w19,Skin,Skin 19,SCC,0,3.920519,0
skin21-f6-w19,Skin,Skin 19,Visually normal,0,4.063662,0
skin21-f7-w19,Skin,Skin 19,Visually normal,0,4.200418,0
skin21-g1-w19,Skin,Skin 19,Visually normal,6,11.43858,0.5245406335401772
skin21-g2-w19,Skin,Skin 19,Visually normal,0,4.094881,0
skin21-g3-w19,Skin,Skin 19,Visually normal,6,14.270391,0.42045098834362704
skin21-g4-w19,Skin,Skin 19,SCC,5,13.57167,0.3684144987315489
skin21-g6-w19,Skin,Skin 19,Visually normal,0,3.969806,0
skin21-g7-w19,Skin,Skin 19,Visually normal,0,4.027308,0
skin21-pp-bc-w19,Skin,Skin 19,SCC,3,13.247087,0.22646488243037885
skin21-pp-de-w19,Skin,Skin 19,SCC,5,12.383336,0.40376841910774286
