vaf_group,x,mean,lwr,upr,n_samples
TES Acetone,0,0.7524523882644362,0.24536535298923523,1.259539423539637,4
TES Acetone,0.0019569471624266144,0.9589262349130225,0.41825410519029527,1.4995983646357498,4
TES Acetone,0.003913894324853229,1.1822856126613777,0.5976517419552049,1.7669194833675506,4
TES Acetone,0.005870841487279843,1.4120580976822266,0.7601297334652937,2.0639864618991597,4
TES Acetone,0.007827788649706457,1.6349545659122489,0.8941805514161363,2.3757285804083614,4
TES Acetone,0.009784735812133072,1.8364256579861697,1.0021049745240171,2.6707463414483223,4
TES Acetone,0.011741682974559686,2.003856134959821,1.0930150861068069,2.914697183812835,4
TES Acetone,0.0136986301369863,2.1310662814734562,1.1774537893956922,3.0846787735512202,4
TES Acetone,0.015655577299412915,2.2227199938908306,1.2669468563826825,3.178493131398979,4
TES Acetone,0.01761252446183953,2.2965386962427683,1.3765400260599896,3.216537366425547,4
TES Acetone,0.019569471624266144,2.381469152714363,1.5276639211140033,3.2352743843147227,4
TES Acetone,0.021526418786692758,2.5112782753100453,1.7479321192597845,3.274624431360306,4
TES Acetone,0.023483365949119372,2.716039712283167,2.0626266986008384,3.3694527259654956,4
TES Acetone,0.025440313111545987,3.0096163555777635,2.476312118660011,3.542920592495516,4
TES Acetone,0.0273972602739726,3.3857337468690876,2.939631528460779,3.831835965277396,4
TES Acetone,0.029354207436399216,3.8173793521603625,3.3576684303451003,4.277090273975625,4
TES Acetone,0.03131115459882583,4.268782229438363,3.716271664941371,4.821292793935355,4
TES Acetone,0.033268101761252444,4.7081558728841415,4.074227890573125,5.342083855195158,4
TES Acetone,0.03522504892367906,5.11737703712355,4.475295389199193,5.759458685047907,4
TES Acetone,0.03718199608610567,5.495425012743675,4.914848536096565,6.0760014893907845,4
TES Acetone,0.03913894324853229,5.8560626663897395,5.283073026621591,6.429052306157888,4
TES Acetone,0.0410958904109589,6.219259078584998,5.428203890960701,7.010314266209296,4
