sample_name,tissue,time,input_conc,y_plot_DNA,above_cap_reads
hairfollicle21-d7-w17,Hair follicle,Week 17,11.475,11.475,FALSE
hairfollicle21-d1-w17,Hair follicle,Week 17,38.4,38.4,FALSE
hairfollicle21-c6-w17,Hair follicle,Week 17,3.502,3.502,FALSE
hairfollicle21-c1-w17,Hair follicle,Week 17,22.94,22.94,FALSE
hairfollicle21-f1-w17,Hair follicle,Week 17,11.611,11.611,FALSE
hairfollicle21-g1-w17,Hair follicle,Week 17,3.4,3.4,FALSE
hairfollicle21-c2-w17,Hair follicle,Week 17,7.021,7.021,FALSE
hairfollicle21-c3-w17,Hair follicle,Week 17,8.381,8.381,FALSE
hairfollicle21-d3-w17,Hair follicle,Week 17,12.257,12.257,FALSE
hairfollicle21-g3-w17,Hair follicle,Week 17,9.027,9.027,FALSE
hairfollicle21-d4-w17,Hair follicle,Week 17,18.36,18.36,FALSE
hairfollicle21-g4-w17,Hair follicle,Week 17,5.491,5.491,FALSE
hairfollicle21-b5-w17,Hair follicle,Week 17,8.636,8.636,FALSE
hairfollicle21-d5-w17,Hair follicle,Week 17,6.511,6.511,FALSE
hairfollicle21-e5-w17,Hair follicle,Week 17,6.987,6.987,FALSE
hairfollicle21-f5-w17,Hair follicle,Week 17,13.6,13.6,FALSE
hairfollicle21-g5-w17,Hair follicle,Week 17,4.029,4.029,FALSE
hairfollicle21-e6-w17,Hair follicle,Week 17,5.508,5.508,FALSE
hairfollicle21-e7-w17,Hair follicle,Week 17,8.313,8.313,FALSE
