sample_name,time,input_conc,treatment,tissue
hairfollicle21-d3-w17,Week 17,12.257,DT,Hair follicle
hairfollicle21-g3-w17,Week 17,9.027,DT,Hair follicle
hairfollicle21-d4-w17,Week 17,18.36,DT,Hair follicle
hairfollicle21-g4-w17,Week 17,5.491,DT,Hair follicle
hairfollicle21-b5-w17,Week 17,8.636,DT,Hair follicle
hairfollicle21-d5-w17,Week 17,6.511,DT,Hair follicle
hairfollicle21-e5-w17,Week 17,6.987,DT,Hair follicle
hairfollicle21-f5-w17,Week 17,13.6,DT,Hair follicle
hairfollicle21-g5-w17,Week 17,4.029,DT,Hair follicle
hairfollicle21-e6-w17,Week 17,5.508,DT,Hair follicle
hairfollicle21-e7-w17,Week 17,8.313,DT,Hair follicle
Skin21_c5_w19,Week 19,150,DT,Skin
Skin21_d1_w19,Week 19,159,DT,Skin
Skin21_d3_w19,Week 19,142.5,DT,Skin
Skin21_d4_w19,Week 19,177,DT,Skin
Skin21_f1_w19,Week 19,140.4,DT,Skin
Skin21_g1_w19,Week 19,174,DT,Skin
Skin21_g3_w19,Week 19,145.2,DT,Skin
Skin21_g4_w19,Week 19,153,DT,Skin
Skin21_pp_bc_w19,Week 19,228,DT,Skin
Skin21_pp_de_w19,Week 19,151.2,DT,Skin
skin21-c6-w19,Week 19,265,DT,Skin
skin21-c7-w19,Week 19,223.5,DT,Skin
skin21-d2-w19,Week 19,189.5,DT,Skin
skin21-e1-w19,Week 19,183,DT,Skin
skin21-e2-w19,Week 19,228,DT,Skin
skin21-e3-w19,Week 19,245,DT,Skin
skin21-e4-w19,Week 19,202,DT,Skin
skin21-f2-w19,Week 19,148,DT,Skin
skin21-f3-w19,Week 19,245,DT,Skin
skin21-f4-w19,Week 19,178.5,DT,Skin
skin21-f6-w19,Week 19,194,DT,Skin
skin21-f7-w19,Week 19,160.5,DT,Skin
skin21-g2-w19,Week 19,149.5,DT,Skin
skin21-g6-w19,Week 19,114.8,DT,Skin
skin21-g7-w19,Week 19,155.4,DT,Skin
