time,grid,category
Skin 19,b2,Visually normal
Skin 19,b3,Visually normal
Skin 19,b4,Visually normal
Skin 19,b5,Visually normal
Skin 19,b6,SCC
Skin 19,b7,SCC
Skin 19,c1,Visually normal
Skin 19,c2,Visually normal
Skin 19,c3,Visually normal
Skin 19,c4,Visually normal
Skin 19,c5,Visually normal
Skin 19,c6,Visually normal
Skin 19,c7,SCC
Skin 19,d1,Visually normal
Skin 19,d2,Papilloma
Skin 19,d3,Visually normal
Skin 19,d4,Visually normal
Skin 19,d5,Papilloma
Skin 19,d6,Papilloma
Skin 19,d7,Visually normal
Skin 19,e1,Papilloma
Skin 19,e2,Papilloma
Skin 19,e3,Visually normal
Skin 19,e4,SCC
Skin 19,e5,SCC
Skin 19,e6,Visually normal
Skin 19,e7,Visually normal
Skin 19,f1,Papilloma
Skin 19,f2,Visually normal
Skin 19,f3,Visually normal
Skin 19,f4,SCC
Skin 19,f5,SCC
Skin 19,f6,Visually normal
Skin 19,f7,Visually normal
Skin 19,g1,Visually normal
Skin 19,g2,Visually normal
Skin 19,g3,Visually normal
Skin 19,g4,SCC
Skin 19,g5,SCC
Skin 19,g6,Visually normal
Skin 19,g7,Visually normal
