plot_timepoint,sharing_class,n_samples,pct_mutations,sd_pct_mutations,segment_ymin,segment_ymax,segment_mid,errorbar_ymin,errorbar_ymax
Week 8,Shared with SK,11,0.296028880866426,0.07402069234206729,0,0.296028880866426,0.148014440433213,0.11100409426217935,0.18502478660424665
Week 8,Shared with later HF,11,0.703971119133574,0.07402069234206729,0.296028880866426,1,0.648014440433213,0.6110040942621794,0.6850247866042466
Week 8,Shared with earlier HF,11,0,0,1,1,1,1,1
Week 14,Shared with SK,9,0.3673469387755102,0.09294257960321922,0,0.3673469387755102,0.1836734693877551,0.1372021795861455,0.23014475918936472
Week 14,Shared with later HF,9,0.40233236151603496,0.12374760533930258,0.3673469387755102,0.7696793002915452,0.5685131195335277,0.5066393168638764,0.6303869222031789
Week 14,Shared with earlier HF,9,0.2303206997084548,0.1243308657471439,0.7696793002915452,1,0.8848396501457726,0.8226742172722007,0.9470050830193445
Week 17,Shared with SK,14,0.40074906367041196,0.18028259522506146,0,0.40074906367041196,0.20037453183520598,0.11023323422267525,0.2905158294477367
Week 17,Shared with later HF,14,0,0,0.40074906367041196,0.40074906367041196,0.40074906367041196,0.40074906367041196,0.40074906367041196
Week 17,Shared with earlier HF,14,0.599250936329588,0.18028259522506146,0.40074906367041196,1,0.7003745318352059,0.6102332342226752,0.7905158294477367
