term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-9.746474685959502,0.40986970972142506,-23.77944613810047,5.450643310594763e-125
adjacencyAdjacent,0.12095768706416671,0.052634513384375595,2.298067927043335,0.021557923349785228
