model,Df,AIC,BIC,logLik,deviance,Chisq,Chi Df,Pr(>Chisq)
hf_skin_poisson_null,2,232.0933612293648,234.18240610481166,-114.0466806146824,228.0933612293648,NA,NA,NA
hf_skin_poisson,3,228.80741377983662,231.94098109300688,-111.40370688991831,222.80741377983662,5.28594744952818,1,0.02149819185101728
