plot_timepoint,sharing_class,n_samples,total_mutations_weight,n_mutations,weighted_mean_pct,weighted_sd_pct,weighted_se_pct,ymin,ymax
Week 8,Shared with SK,11,2121,82,0.03866100895803866,0.030969541234959614,0.011402392948747524,0.027258616009291137,0.05006340190678618
Week 8,Shared with later HF,11,2121,258,0.12164073550212164,0.06349933779797536,0.02337924207738802,0.09826149342473361,0.14501997757950966
Week 8,Shared with earlier HF,11,2121,0,0,0,0,0,0
Week 14,Shared with SK,9,1803,126,0.06988352745424292,0.05448759326216328,0.022630809710450405,0.04725271774379251,0.09251433716469333
Week 14,Shared with later HF,9,1803,209,0.11591791458679977,0.08393196395755372,0.03486019828052812,0.08105771630627165,0.1507781128673279
Week 14,Shared with earlier HF,9,1803,224,0.12423738214087632,0.06560715329351925,0.027249194044711163,0.09698818809616516,0.15148657618558747
Week 17,Shared with SK,16,814,107,0.13144963144963145,0.056859392493603486,0.017809889003553934,0.11363974244607752,0.14925952045318538
Week 17,Shared with later HF,16,814,0,0,0,0,0,0
Week 17,Shared with earlier HF,16,814,236,0.28992628992628994,0.0618393802937821,0.01936975494778138,0.27055653497850857,0.3092960448740713
