time_num,prob,SE,df,asymp.LCL,asymp.UCL
8,0.037399121592587396,0.004012855771789974,Inf,0.030281679437539667,0.046109910182838894
14,0.05931331989083089,0.004573520539770984,Inf,0.050958840945034216,0.0689379860464344
17,0.07435302938818103,0.00852400940615597,Inf,0.05927784520559402,0.09288350500741102
