gene_symbol,gene_rank,human_symbols,known_cscc_gene,gene_length_kb,n_mutated_biopsies,n_recurrent_mutations,n_nonsynonymous_mutations,functional_group_assignment,assignment_rule,rule_functional_group_assignment,rule_assignment_rule,manual_functional_group_assignment,manual_annotation_applied,has_keratin_override,top_group,top_group_score,second_group_score,score_margin_to_second,top_tie_count,top_tie_groups,override_rule_terms,matched_group_count,matched_multiple_groups,matched_groups,n_gs_names_cell_adhesion_and_cytoskeleton,n_gs_names_dna_damage_and_repair,n_gs_names_epigenetic_regulators,n_gs_names_gene_expression_regulation,n_gs_names_immune,n_gs_names_ion_transport_and_metabolism,n_gs_names_mapk_ras,n_rule_terms_cell_adhesion_and_cytoskeleton,n_rule_terms_dna_damage_and_repair,n_rule_terms_epigenetic_regulators,n_rule_terms_gene_expression_regulation,n_rule_terms_immune,n_rule_terms_ion_transport_and_metabolism,n_rule_terms_mapk_ras,terms_cell_adhesion_and_cytoskeleton,terms_dna_damage_and_repair,terms_epigenetic_regulators,terms_gene_expression_regulation,terms_immune,terms_ion_transport_and_metabolism,terms_mapk_ras,gs_names_cell_adhesion_and_cytoskeleton,gs_names_dna_damage_and_repair,gs_names_epigenetic_regulators,gs_names_gene_expression_regulation,gs_names_immune,gs_names_ion_transport_and_metabolism,gs_names_mapk_ras
Sfi1,1,SFI1,FALSE,3.806,26,11,0,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,NA,FALSE,FALSE,Cell adhesion and cytoskeleton,2,0,2,1,Cell adhesion and cytoskeleton,NA,1,FALSE,Cell adhesion and cytoskeleton (gs_names=2),2,0,0,0,0,0,0,2,0,0,0,0,0,0,ACTIN; CYTOSKELETON,NA,NA,NA,NA,NA,NA,GOCC_MICROTUBULE_CYTOSKELETON; GOCC_MICROTUBULE_ORGANIZING_CENTER,NA,NA,NA,NA,NA,NA
Dnm2,2,DNM2,FALSE,2.713,10,5,0,Cell adhesion and cytoskeleton,Manual review annotation,Ion transport and metabolism,Top group has >=2 more matching unique gs_names than second group,Cell adhesion and cytoskeleton,TRUE,FALSE,Ion transport and metabolism,66,26,40,1,Ion transport and metabolism,NA,5,TRUE,Cell adhesion and cytoskeleton (gs_names=26); Gene expression regulation (gs_names=5); Immune (gs_names=4); Ion transport and metabolism (gs_names=66); MAPK / Ras (gs_names=6),26,0,0,5,4,66,6,4,0,0,2,2,3,1,ACTIN; CELL_ADHESION; CYTOSKELETON; ECM_EXTRACELLULAR_MATRIX,NA,NA,RIBOSOME; TRANSCRIPTION,CYTOKINE; IMMUNE,LIPID; METABOLISM; TRANSPORT,GROWTH_FACTOR,GOBP_ACTIN_FILAMENT_BASED_PROCESS; GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION; GOBP_ACTIN_FILAMENT_ORGANIZATION; GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION; GOBP_CELL_ADHESION; GOBP_CYTOSKELETON_ORGANIZATION; GOBP_HEART_DEVELOPMENT; GOBP_LAMELLIPODIUM_ORGANIZATION; GOBP_MICROTUBULE_BASED_PROCESS; GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION; GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION; GOBP_ORGANELLE_ASSEMBLY; GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION; GOBP_REGULATION_OF_CELL_ADHESION; GOBP_STRESS_FIBER_ASSEMBLY; GOCC_ACTIN_CYTOSKELETON; GOCC_ANCHORING_JUNCTION; GOCC_LAMELLIPODIUM; GOCC_MICROTUBULE_CYTOSKELETON; GOCC_MICROTUBULE_ORGANIZING_CENTER; GOCC_PHAGOCYTIC_CUP; GOCC_PODOSOME; GOCC_POLYMERIC_CYTOSKELETAL_FIBER; GOMF_CYTOSKELETAL_PROTEIN_BINDING; GOMF_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES; REACTOME_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,NA,NA,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY; GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY; GOBP_ORGANELLE_ASSEMBLY; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOCC_PHOTORECEPTOR_INNER_SEGMENT,GOCC_MIDBODY; REACTOME_ADAPTIVE_IMMUNE_SYSTEM; REACTOME_IMMUNE_SYSTEM; REACTOME_INNATE_IMMUNE_SYSTEM,GOBP_ENDOCYTOSIS; GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT; GOBP_GOLGI_VESICLE_TRANSPORT; GOBP_IMPORT_INTO_CELL; GOBP_IRON_ION_TRANSPORT; GOBP_LOCALIZATION_WITHIN_MEMBRANE; GOBP_MEMBRANE_ORGANIZATION; GOBP_METAL_ION_TRANSPORT; GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT; GOBP_MONOATOMIC_CATION_TRANSPORT; GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT; GOBP_MONOATOMIC_ION_TRANSPORT; GOBP_ORGANELLE_LOCALIZATION; GOBP_PHAGOCYTOSIS; GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT; GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT; GOBP_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS; GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT; GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY; GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT; GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT; GOBP_POSITIVE_REGULATION_OF_TRANSPORT; GOBP_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY; GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT; GOBP_POSTSYNAPTIC_ENDOCYTOSIS; GOBP_PRESYNAPTIC_ENDOCYTOSIS; GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM; GOBP_PROTEIN_TRANSPORT; GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS; GOBP_REGULATION_OF_METAL_ION_TRANSPORT; GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT; GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT; GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS; GOBP_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT; GOBP_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY; GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT; GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT; GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORTER_ACTIVITY; GOBP_REGULATION_OF_TRANSPORT; GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT; GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT; GOBP_SODIUM_ION_TRANSPORT; GOBP_SYNAPTIC_VESICLE_LOCALIZATION; GOBP_SYNAPTIC_VESICLE_TRANSPORT; GOBP_TRANSFERRIN_TRANSPORT; GOBP_TRANSITION_METAL_ION_TRANSPORT; GOBP_TRANSMEMBRANE_TRANSPORT; GOBP_VASCULATURE_DEVELOPMENT; GOBP_VESICLE_LOCALIZATION; GOBP_VESICLE_MEDIATED_TRANSPORT; GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE; GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE; GOCC_BOUNDING_MEMBRANE_OF_ORGANELLE; GOCC_CLATHRIN_COATED_PIT; GOCC_ENDOCYTIC_VESICLE_MEMBRANE; GOCC_GOLGI_MEMBRANE; GOCC_PHAGOCYTIC_VESICLE_MEMBRANE; GOCC_RECYCLING_ENDOSOME; GOCC_VESICLE_MEMBRANE; GOMF_LIPID_BINDING; GOMF_PHOSPHATIDYLINOSITOL_3_KINASE_BINDING; GOMF_PHOSPHATIDYLINOSITOL_BINDING; GOMF_PHOSPHOLIPID_BINDING; REACTOME_METABOLISM; REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION; REACTOME_VESICLE_MEDIATED_TRANSPORT,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_GROWTH_FACTOR; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY
Myh9,3,MYH9,TRUE,6.078,9,3,0,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,NA,FALSE,FALSE,Cell adhesion and cytoskeleton,65,29,36,1,Cell adhesion and cytoskeleton,NA,5,TRUE,Cell adhesion and cytoskeleton (gs_names=65); Gene expression regulation (gs_names=1); Immune (gs_names=8); Ion transport and metabolism (gs_names=29); MAPK / Ras (gs_names=4),65,0,0,1,8,29,4,8,0,0,2,2,3,3,ACTIN; APICAL_JUNCTION; CELL_ADHESION; CELL_MIGRATION; CYTOSKELETON; ECM_EXTRACELLULAR_MATRIX; INTEGRIN; RHO_GTPASE,NA,NA,RIBOSOME; TRANSLATION,CYTOKINE; IMMUNE,CALCIUM; LIPID; TRANSPORT,GROWTH_FACTOR; MAPK; PKC,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT; GOBP_ACTIN_FILAMENT_BASED_PROCESS; GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION; GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION; GOBP_ACTIN_FILAMENT_ORGANIZATION; GOBP_ACTIN_FILAMENT_SEVERING; GOBP_ACTIN_MEDIATED_CELL_CONTRACTION; GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION; GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION; GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION; GOBP_CELL_ADHESION; GOBP_CELL_CELL_ADHESION; GOBP_CELL_CELL_SIGNALING; GOBP_CELL_JUNCTION_ORGANIZATION; GOBP_CELL_MATRIX_ADHESION; GOBP_CELL_MIGRATION; GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION; GOBP_CYTOPLASMIC_ACTIN_BASED_CONTRACTION_INVOLVED_IN_CELL_MOTILITY; GOBP_CYTOSKELETON_ORGANIZATION; GOBP_ENDOTHELIAL_CELL_MIGRATION; GOBP_FOCAL_ADHESION_ASSEMBLY; GOBP_MICROTUBULE_BASED_PROCESS; GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION; GOBP_MUSCLE_CELL_MIGRATION; GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION; GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION; GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION; GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION; GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION; GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION; GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS; GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH; GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION; GOBP_REGULATION_OF_CELL_ADHESION; GOBP_REGULATION_OF_CELL_MATRIX_ADHESION; GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION; GOBP_SMOOTH_MUSCLE_CELL_MIGRATION; GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_MIGRATION; GOCC_ACTIN_CYTOSKELETON; GOCC_ACTIN_FILAMENT; GOCC_ACTIN_FILAMENT_BUNDLE; GOCC_ACTOMYOSIN; GOCC_ACTOMYOSIN_CONTRACTILE_RING; GOCC_ADHERENS_JUNCTION; GOCC_ANCHORING_JUNCTION; GOCC_CELL_CORTEX; GOCC_CELL_SUBSTRATE_JUNCTION; GOCC_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS; GOCC_CORTICAL_ACTIN_CYTOSKELETON; GOCC_CORTICAL_CYTOSKELETON; GOCC_LAMELLIPODIUM; GOCC_MICROTUBULE_CYTOSKELETON; GOCC_MYOSIN_COMPLEX; GOCC_POLYMERIC_CYTOSKELETAL_FIBER; GOMF_ACTIN_BINDING; GOMF_ACTIN_FILAMENT_BINDING; GOMF_CELL_ADHESION_MOLECULE_BINDING; GOMF_CYTOSKELETAL_PROTEIN_BINDING; GOMF_INTEGRIN_BINDING; GOMF_PROTEIN_MEMBRANE_ADAPTOR_ACTIVITY; HALLMARK_APICAL_JUNCTION; REACTOME_RHO_GTPASE_EFFECTORS; REACTOME_RHO_GTPASES_ACTIVATE_PAKS; REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,NA,NA,GOBP_VIRAL_LIFE_CYCLE,GOBP_CYTOKINESIS; GOBP_CYTOKINETIC_PROCESS; GOBP_LYMPHOCYTE_ACTIVATION; GOBP_PHAGOCYTOSIS_ENGULFMENT; GOBP_T_CELL_ACTIVATION; GOCC_CELL_DIVISION_SITE; REACTOME_IMMUNE_SYSTEM; REACTOME_INNATE_IMMUNE_SYSTEM,GOBP_AMIDE_TRANSPORT; GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS; GOBP_CELL_CELL_SIGNALING; GOBP_ENDOCYTOSIS; GOBP_EXPORT_FROM_CELL; GOBP_HORMONE_TRANSPORT; GOBP_IMPORT_INTO_CELL; GOBP_MEMBRANE_ORGANIZATION; GOBP_ORGANELLE_LOCALIZATION; GOBP_PEPTIDE_TRANSPORT; GOBP_PHAGOCYTOSIS; GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_TRANSPORT; GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION; GOBP_PROTEIN_TRANSPORT; GOBP_REGULATION_OF_CELLULAR_LOCALIZATION; GOBP_REGULATION_OF_PEPTIDE_TRANSPORT; GOBP_REGULATION_OF_PROTEIN_LOCALIZATION; GOBP_REGULATION_OF_TRANSPORT; GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT; GOBP_SPINDLE_LOCALIZATION; GOBP_TUBE_DEVELOPMENT; GOBP_TUBE_MORPHOGENESIS; GOBP_VACUOLAR_LOCALIZATION; GOBP_VASCULATURE_DEVELOPMENT; GOBP_VESICLE_MEDIATED_TRANSPORT; GOMF_ATP_DEPENDENT_ACTIVITY; GOMF_CALMODULIN_BINDING; GOMF_PROTEIN_MEMBRANE_ADAPTOR_ACTIVITY,GOBP_ERK1_AND_ERK2_CASCADE; GOBP_MAPK_CASCADE; GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE
Fbn2,4,FBN2,FALSE,9.044,9,2,0,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,NA,FALSE,FALSE,Cell adhesion and cytoskeleton,9,6,3,1,Cell adhesion and cytoskeleton,NA,4,TRUE,Cell adhesion and cytoskeleton (gs_names=9); Gene expression regulation (gs_names=3); Ion transport and metabolism (gs_names=4); MAPK / Ras (gs_names=6),9,0,0,3,0,4,6,2,0,0,1,0,2,1,CELL_MIGRATION; ECM_EXTRACELLULAR_MATRIX,NA,NA,TRANSCRIPTION,NA,CALCIUM; TRANSPORT,GROWTH_FACTOR,GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION; GOBP_CELL_MIGRATION; GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION; GOBP_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION; GOBP_TROPHOBLAST_CELL_MIGRATION; GOCC_MICROFIBRIL; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,NA,NA,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY; GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,NA,GOBP_BONE_MINERALIZATION; GOBP_MAINTENANCE_OF_PROTEIN_LOCATION; GOBP_PROTEIN_LOCALIZATION_TO_EXTRACELLULAR_REGION; GOMF_CALCIUM_ION_BINDING,GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_GROWTH_FACTOR; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY
Zan,5,ZAN,FALSE,16.693,8,3,3,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,NA,FALSE,FALSE,Cell adhesion and cytoskeleton,3,0,3,1,Cell adhesion and cytoskeleton,NA,1,FALSE,Cell adhesion and cytoskeleton (gs_names=3),3,0,0,0,0,0,0,2,0,0,0,0,0,0,CELL_ADHESION; ECM_EXTRACELLULAR_MATRIX,NA,NA,NA,NA,NA,NA,GOBP_CELL_ADHESION; GOMF_EXTRACELLULAR_MATRIX_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,NA,NA,NA,NA,NA,NA
Ntng1,6,NTNG1,FALSE,1.65,7,3,0,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,Cell adhesion and cytoskeleton,Top group has >=2 more matching unique gs_names than second group,NA,FALSE,FALSE,Cell adhesion and cytoskeleton,8,1,7,1,Cell adhesion and cytoskeleton,NA,2,TRUE,Cell adhesion and cytoskeleton (gs_names=8); Ion transport and metabolism (gs_names=1),8,0,0,0,0,1,0,3,0,0,0,0,1,0,CELL_ADHESION; CELL_MIGRATION; ECM_EXTRACELLULAR_MATRIX,NA,NA,NA,NA,TRANSPORT,NA,GOBP_CELL_ADHESION; GOBP_CELL_CELL_ADHESION; GOBP_CELL_CELL_SIGNALING; GOBP_CELL_JUNCTION_ORGANIZATION; GOBP_CELL_MIGRATION; GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY; GOMF_CELL_ADHESION_MOLECULE_BINDING; GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY,NA,NA,NA,NA,GOBP_CELL_CELL_SIGNALING,NA
