gene_symbol,group,n_samples,n_mutations,datasets,samples,max_gt_AF
Thap1,HF papilloma,2,2,WES,hairfollicle04-c2-t3; hairfollicle04-c4-t3,0.341
Thap1,Skin papilloma,1,2,WES,skin04-c2-t2,0.031
Thap7,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.06
Thbs4,Morphologically normal,1,1,WES,skin04-c6-t2,0.056
Them4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.042
Themis,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.034
Thoc1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.035
Thoc2l,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.119
Thop1,Morphologically normal,2,3,WES,hairfollicle04-c6-t3; skin04-c6-t2,0.067
Thrb,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.049
Thsd1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.088
Thsd1,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.059
Thsd4,Morphologically normal,1,3,WES,hairfollicle05-c7-t2,0.098
Thsd7a,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.04
Thsd7b,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.052
Thtpa,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.09
Thumpd2,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.023
Thy1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.05
Tiam1,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.077
Tiam1,Skin papilloma,1,1,WES,skin04-c5-t2,0.057
Tiam2,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.043
Tiam2,Skin papilloma,1,1,WES,skin04-c5-t2,0.03
Timd2,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.107
Timeless,Morphologically normal,3,3,WES,hairfollicle05-b1-t3; hairfollicle05-c7-t2; skin04-c6-t2,0.136
Timm50,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.027
Timmdc1,Skin papilloma,1,1,WES,skin04-c2-t2,0.1
Tjp1,Skin papilloma,1,1,WES,skin04-c5-t2,0.048
Tktl1,Skin papilloma,1,1,WES,skin04-c5-t2,0.079
Tle4,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.133
Tll1,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.091
Tln1,Morphologically normal,3,3,WES,hairfollicle05-c7-t2; hairfollicle05-e5-t3; skin04-c6-t2,0.103
Tln1,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.03
Tln1,Skin papilloma,1,1,WES,skin04-c5-t2,0.055
Tln2,Morphologically normal,2,2,WES,hairfollicle04-c6-t3; hairfollicle05-e5-t3,0.035
Tlr11,Morphologically normal,2,3,WES,hairfollicle04-c6-t3; hairfollicle05-e5-t3,0.04
Tlr9,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.051
Tm4sf1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.052
Tm4sf1,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.027
Tm4sf4,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.038
Tmbim7,Skin papilloma,1,1,WES,skin04-c5-t2,0.083
Tmc2,Morphologically normal,2,2,WES,hairfollicle05-e5-t3; skin04-c6-t2,0.048
Tmc3,Morphologically normal,1,1,WES,skin04-c6-t2,0.084
Tmc4,Skin papilloma,1,1,WES,skin04-c4-t2,0.075
Tmcc2,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.074
Tmco5,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.036
Tmed3,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.038
Tmed9,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.029
Tmeff1,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.055
Tmem104,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.077
Tmem120a,Morphologically normal,1,1,WES,skin04-c6-t2,0.052
Tmem120b,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.119
Tmem130,Skin papilloma,1,1,WES,skin04-c5-t2,0.046
Tmem131,Morphologically normal,1,1,WES,skin05-b5-t2,0.084
Tmem131l,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.081
Tmem145,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.045
Tmem150c,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.2
Tmem159,Morphologically normal,2,2,WES,hairfollicle05-c7-t2; hairfollicle05-e5-t3,0.086
Tmem163,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.135
Tmem175,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.045
Tmem176a,Skin papilloma,1,1,WES,skin04-c5-t2,0.036
Tmem178b,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.025
Tmem178b,Skin papilloma,1,1,WES,skin04-c5-t2,0.026
Tmem179b,Morphologically normal,1,1,WES,skin04-c6-t2,0.061
Tmem201,Skin papilloma,1,1,WES,skin04-c2-t2,0.065
Tmem211,Morphologically normal,1,1,WES,skin05-e5-t2,0.034
Tmem214,Skin papilloma,1,1,WES,skin04-c2-t2,0.033
Tmem219,Skin papilloma,1,1,WES,skin04-c4-t2,0.06
Tmem229a,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.099
Tmem237,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.038
Tmem237,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.032
Tmem260,Morphologically normal,1,1,WES,hairfollicle04-c6-t3,0.071
Tmem268,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.078
Tmem270,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.029
Tmem29,Skin papilloma,1,1,WES,skin04-c5-t2,0.045
Tmem39a,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.129
Tmem39b,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.056
Tmem41a,Morphologically normal,1,1,WES,hairfollicle05-b1-t3,0.142
Tmem43,Skin papilloma,1,1,WES,skin04-c4-t2,0.017
Tmem54,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.019
Tmem63b,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.07
Tmem63b,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.036
Tmem8b,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.042
Tmem94,Morphologically normal,1,1,WES,hairfollicle05-b5-t3,0.062
Tmem94,HF papilloma,1,1,WES,hairfollicle04-c4-t3,0.063
Tmem9b,HF papilloma,1,1,WES,hairfollicle04-c5-t3,0.025
Tmprss11a,Morphologically normal,1,2,WES,hairfollicle05-e5-t3,0.03
Tmprss11b,Morphologically normal,1,1,WES,skin04-c6-t2,0.043
Tmprss13,Morphologically normal,1,2,WES,skin05-b5-t2,0.081
Tmprss13,Skin papilloma,1,1,WES,skin04-c2-t2,0.072
Tmprss4,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.04
Tmprss5,Morphologically normal,1,1,WES,hairfollicle05-c7-t2,0.111
Tmprss5,HF papilloma,1,1,WES,hairfollicle04-c2-t3,0.037
Tmprss6,Skin papilloma,1,1,WES,skin04-c5-t2,0.042
Tmprss9,HF papilloma,1,2,WES,hairfollicle04-c5-t3,0.043
Tmprss9,Skin papilloma,1,1,WES,skin04-c5-t2,0.071
Tmx4,Morphologically normal,1,1,WES,hairfollicle05-e5-t3,0.045
Tnc,Morphologically normal,1,1,WES,skin05-b5-t2,0.063
