gene_symbol,row_label,gene_label,candidate_group,lollipop_order,mutation_type,n_mutations,total_mutations
Ppp1r14d,Ppp1r14d / PPP1R14D,Ppp1r14d / PPP1R14D,Initiation (I),12,Missense,0,2
Ppp1r14d,Ppp1r14d / PPP1R14D,Ppp1r14d / PPP1R14D,Initiation (I),12,Deletion,0,2
Ppp1r14d,Ppp1r14d / PPP1R14D,Ppp1r14d / PPP1R14D,Initiation (I),12,Stop gain/loss,1,2
Ppp1r14d,Ppp1r14d / PPP1R14D,Ppp1r14d / PPP1R14D,Initiation (I),12,DBS,0,2
Ppp1r14d,Ppp1r14d / PPP1R14D,Ppp1r14d / PPP1R14D,Initiation (I),12,Splice,1,2
Tmprss9,Tmprss9 / TMPRSS9,Tmprss9 / TMPRSS9,Initiation (I),13,Missense,3,3
Tmprss9,Tmprss9 / TMPRSS9,Tmprss9 / TMPRSS9,Initiation (I),13,Deletion,0,3
Tmprss9,Tmprss9 / TMPRSS9,Tmprss9 / TMPRSS9,Initiation (I),13,Stop gain/loss,0,3
Tmprss9,Tmprss9 / TMPRSS9,Tmprss9 / TMPRSS9,Initiation (I),13,DBS,0,3
Tmprss9,Tmprss9 / TMPRSS9,Tmprss9 / TMPRSS9,Initiation (I),13,Splice,0,3
Otog,Otog / OTOG,Otog / OTOG,Initiation (I),14,Missense,4,4
Otog,Otog / OTOG,Otog / OTOG,Initiation (I),14,Deletion,0,4
Otog,Otog / OTOG,Otog / OTOG,Initiation (I),14,Stop gain/loss,0,4
Otog,Otog / OTOG,Otog / OTOG,Initiation (I),14,DBS,0,4
Otog,Otog / OTOG,Otog / OTOG,Initiation (I),14,Splice,0,4
Rad51b,Rad51b / RAD51B,Rad51b / RAD51B,Initiation (I),15,Missense,2,2
Rad51b,Rad51b / RAD51B,Rad51b / RAD51B,Initiation (I),15,Deletion,0,2
Rad51b,Rad51b / RAD51B,Rad51b / RAD51B,Initiation (I),15,Stop gain/loss,0,2
Rad51b,Rad51b / RAD51B,Rad51b / RAD51B,Initiation (I),15,DBS,0,2
Rad51b,Rad51b / RAD51B,Rad51b / RAD51B,Initiation (I),15,Splice,0,2
Aatk,Aatk / AATK,Aatk / AATK,Initiation (I),16,Missense,2,2
Aatk,Aatk / AATK,Aatk / AATK,Initiation (I),16,Deletion,0,2
Aatk,Aatk / AATK,Aatk / AATK,Initiation (I),16,Stop gain/loss,0,2
Aatk,Aatk / AATK,Aatk / AATK,Initiation (I),16,DBS,0,2
Aatk,Aatk / AATK,Aatk / AATK,Initiation (I),16,Splice,0,2
Ezh1,Ezh1 / EZH1,Ezh1 / EZH1,Initiation (I),17,Missense,2,2
Ezh1,Ezh1 / EZH1,Ezh1 / EZH1,Initiation (I),17,Deletion,0,2
Ezh1,Ezh1 / EZH1,Ezh1 / EZH1,Initiation (I),17,Stop gain/loss,0,2
Ezh1,Ezh1 / EZH1,Ezh1 / EZH1,Initiation (I),17,DBS,0,2
Ezh1,Ezh1 / EZH1,Ezh1 / EZH1,Initiation (I),17,Splice,0,2
Usp3,Usp3 / USP3,Usp3 / USP3,Initiation (I),18,Missense,0,2
Usp3,Usp3 / USP3,Usp3 / USP3,Initiation (I),18,Deletion,2,2
Usp3,Usp3 / USP3,Usp3 / USP3,Initiation (I),18,Stop gain/loss,0,2
Usp3,Usp3 / USP3,Usp3 / USP3,Initiation (I),18,DBS,0,2
Usp3,Usp3 / USP3,Usp3 / USP3,Initiation (I),18,Splice,0,2
Kndc1,Kndc1 / KNDC1,Kndc1 / KNDC1,Initiation (I),19,Missense,2,2
Kndc1,Kndc1 / KNDC1,Kndc1 / KNDC1,Initiation (I),19,Deletion,0,2
Kndc1,Kndc1 / KNDC1,Kndc1 / KNDC1,Initiation (I),19,Stop gain/loss,0,2
Kndc1,Kndc1 / KNDC1,Kndc1 / KNDC1,Initiation (I),19,DBS,0,2
Kndc1,Kndc1 / KNDC1,Kndc1 / KNDC1,Initiation (I),19,Splice,0,2
Spats2l,Spats2l / SPATS2L,Spats2l / SPATS2L,Initiation (I),20,Missense,0,2
Spats2l,Spats2l / SPATS2L,Spats2l / SPATS2L,Initiation (I),20,Deletion,0,2
Spats2l,Spats2l / SPATS2L,Spats2l / SPATS2L,Initiation (I),20,Stop gain/loss,1,2
Spats2l,Spats2l / SPATS2L,Spats2l / SPATS2L,Initiation (I),20,DBS,0,2
Spats2l,Spats2l / SPATS2L,Spats2l / SPATS2L,Initiation (I),20,Splice,1,2
Foxp4,Foxp4 / FOXP4,Foxp4 / FOXP4,Initiation (I),21,Missense,1,2
Foxp4,Foxp4 / FOXP4,Foxp4 / FOXP4,Initiation (I),21,Deletion,0,2
Foxp4,Foxp4 / FOXP4,Foxp4 / FOXP4,Initiation (I),21,Stop gain/loss,0,2
Foxp4,Foxp4 / FOXP4,Foxp4 / FOXP4,Initiation (I),21,DBS,0,2
Foxp4,Foxp4 / FOXP4,Foxp4 / FOXP4,Initiation (I),21,Splice,1,2
Pkp4,Pkp4 / PKP4,Pkp4 / PKP4,Initiation (I),22,Missense,2,2
Pkp4,Pkp4 / PKP4,Pkp4 / PKP4,Initiation (I),22,Deletion,0,2
Pkp4,Pkp4 / PKP4,Pkp4 / PKP4,Initiation (I),22,Stop gain/loss,0,2
Pkp4,Pkp4 / PKP4,Pkp4 / PKP4,Initiation (I),22,DBS,0,2
Pkp4,Pkp4 / PKP4,Pkp4 / PKP4,Initiation (I),22,Splice,0,2
Arid2,Arid2 / ARID2,Arid2 / ARID2,I+P,23,Missense,1,3
Arid2,Arid2 / ARID2,Arid2 / ARID2,I+P,23,Deletion,0,3
Arid2,Arid2 / ARID2,Arid2 / ARID2,I+P,23,Stop gain/loss,0,3
Arid2,Arid2 / ARID2,Arid2 / ARID2,I+P,23,DBS,0,3
Arid2,Arid2 / ARID2,Arid2 / ARID2,I+P,23,Splice,2,3
Pard3,Pard3 / PARD3,Pard3 / PARD3,Predisposition,24,Missense,5,5
Pard3,Pard3 / PARD3,Pard3 / PARD3,Predisposition,24,Deletion,0,5
Pard3,Pard3 / PARD3,Pard3 / PARD3,Predisposition,24,Stop gain/loss,0,5
Pard3,Pard3 / PARD3,Pard3 / PARD3,Predisposition,24,DBS,0,5
Pard3,Pard3 / PARD3,Pard3 / PARD3,Predisposition,24,Splice,0,5
Huwe1,Huwe1 / HUWE1,Huwe1 / HUWE1,Predisposition,25,Missense,4,7
Huwe1,Huwe1 / HUWE1,Huwe1 / HUWE1,Predisposition,25,Deletion,2,7
Huwe1,Huwe1 / HUWE1,Huwe1 / HUWE1,Predisposition,25,Stop gain/loss,1,7
Huwe1,Huwe1 / HUWE1,Huwe1 / HUWE1,Predisposition,25,DBS,0,7
